"year","1|Eastern","10|Lusaka","11|Southern","12|Western","13|North-Western","14|Southern","15|Luapula","16|Muchinga","17|Northern","18|Northern","19|Central","2|Central","20|Northern","21|Eastern","22|Southern","23|Muchinga","24|Central","3|Lusaka","4|Central","5|Copperbelt","6|Lusaka","7|Lusaka","8|North-Western","9|Western"
2010,0.525,0.627,0.523,0,0.453,0,0.428,0.5,0.49,0,0,0.746,0,0.494,0.497,0.648,0.49,0.569,0.588,0.766,0,0.569,0.782,0.654
2020,0.545,0.66,0.546,0,0.477,0,0.451,0.531,0.516,0,0,0.785,0,0.523,0.522,0.673,0.516,0.599,0.616,0.805,0,0.578,0.824,0.685
2030,0.99,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99
2040,0.99,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2050,0.99,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2060,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2070,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2080,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2090,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2100,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2110,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
