relation,node_rel,year_rel,node_loc,technology,year_act,mode,value,unit
eth_shipped_imp_to_rcpa,R12_RCPA,broadcast,R12_RCPA,eth_shipped_imp,broadcast,M1,1,???
eth_shipped_imp_to_chn,R12_CHN,broadcast,R12_CHN,eth_shipped_imp,broadcast,M1,1,???
eth_shipped_imp_to_eeu,R12_EEU,broadcast,R12_EEU,eth_shipped_imp,broadcast,M1,1,???
eth_shipped_imp_to_fsu,R12_FSU,broadcast,R12_FSU,eth_shipped_imp,broadcast,M1,1,???
eth_shipped_imp_to_lam,R12_LAM,broadcast,R12_LAM,eth_shipped_imp,broadcast,M1,1,???
eth_shipped_imp_to_mea,R12_MEA,broadcast,R12_MEA,eth_shipped_imp,broadcast,M1,1,???
eth_shipped_imp_to_nam,R12_NAM,broadcast,R12_NAM,eth_shipped_imp,broadcast,M1,1,???
eth_shipped_imp_to_pao,R12_PAO,broadcast,R12_PAO,eth_shipped_imp,broadcast,M1,1,???
eth_shipped_imp_to_pas,R12_PAS,broadcast,R12_PAS,eth_shipped_imp,broadcast,M1,1,???
eth_shipped_imp_to_sas,R12_SAS,broadcast,R12_SAS,eth_shipped_imp,broadcast,M1,1,???
eth_shipped_imp_to_weu,R12_WEU,broadcast,R12_WEU,eth_shipped_imp,broadcast,M1,1,???
eth_shipped_imp_to_afr,R12_AFR,broadcast,R12_AFR,eth_shipped_imp,broadcast,M1,1,???
