model,scenario,node,variable,unit,sensitivity,output_2020,output_2025,output_2030,output_2035,output_2040,output_2045,output_2050,output_2055,output_2060,output_2065,output_2070,output_2075,output_2080,output_2085,output_2090,output_2095,output_2100,output_2110
GLOMIS,CircEular-A 2e17,SAS,Infrastructure|Tunnels|Area,bn m2/yr,high,.011417955,.013440454,.016689716,.021136219,.027151829,.032775182,.038617466,.044691093,.050776679,.050776679,.050776679,.050776679,.050776679,.050776679,.050776679,.050776679,.050776679,.050776679
GLOMIS,CircEular-A 2e17,WEU,Infrastructure|Bridges|Area,bn m2/yr,high,.3740204,.44035622,.44035622,.44035622,.44154745,.47448382,.50035709,.51645464,.52562451,.52562451,.52562451,.52562451,.52562451,.52562451,.52562451,.52562451,.52562451,.52562451
GLOMIS,CircEular-A 2e17,WEU,Infrastructure|Buildings|Area,bn m2/yr,high,.053924609,.06348861,.06348861,.06348861,.063660353,.068408974,.072139271,.074460141,.07578221,.07578221,.07578221,.07578221,.07578221,.07578221,.07578221,.07578221,.07578221,.07578221
GLOMIS,CircEular-A 2e17,WEU,Infrastructure|Charging stations|Area,bn m2/yr,high,.0000568,.0000669,.0000669,.0000669,.000067100002,.000072100003,.000075999997,.000078500001,.000079899997,.000079899997,.000079899997,.000079899997,.000079899997,.000079899997,.000079899997,.000079899997,.000079899997,.000079899997
GLOMIS,CircEular-A 2e17,WEU,Infrastructure|Fuel stations|Area,bn m2/yr,high,.036402781,.042859133,.042859133,.042859133,.042975076,.046180718,.048698924,.05026567,.051158156,.051158156,.051158156,.051158156,.051158156,.051158156,.051158156,.051158156,.051158156,.051158156
GLOMIS,CircEular-A 2e17,WEU,Infrastructure|Parking|Area,bn m2/yr,high,2.5556624,3.0089314,3.0089314,3.0089314,3.017071,3.2421236,3.4189148,3.5289085,3.5915656,3.5915656,3.5915656,3.5915656,3.5915656,3.5915656,3.5915656,3.5915656,3.5915656,3.5915656
GLOMIS,CircEular-A 2e17,WEU,Infrastructure|Rail|Area,bn m2/yr,high,3.0966234,3.6458368,3.6458368,3.6458368,3.6556995,3.9283888,4.1426015,4.2758775,4.3517976,4.3517976,4.3517976,4.3517976,4.3517976,4.3517976,4.3517976,4.3517976,4.3517976,4.3517976
GLOMIS,CircEular-A 2e17,WEU,Infrastructure|Roads|Area,bn m2/yr,high,63.964394,75.309036,75.309036,75.309036,75.512764,81.145485,85.570305,88.32328,89.891495,89.891495,89.891495,89.891495,89.891495,89.891495,89.891495,89.891495,89.891495,89.891495
GLOMIS,CircEular-A 2e17,WEU,Infrastructure|Runways|Area,bn m2/yr,high,.13717102,.16149949,.16149949,.16149949,.16193639,.1740157,.18350469,.18940838,.1927714,.1927714,.1927714,.1927714,.1927714,.1927714,.1927714,.1927714,.1927714,.1927714
GLOMIS,CircEular-A 2e17,WEU,Infrastructure|Tunnels|Area,bn m2/yr,high,.28142667,.33134016,.33134016,.33134016,.3322365,.35701901,.37648708,.38859943,.39549917,.39549917,.39549917,.39549917,.39549917,.39549917,.39549917,.39549917,.39549917,.39549917
GLOMIS,CircEular-A 2e17,AFR,Infrastructure|Bridges|Area,bn m2/yr,low,.036841597,.044769291,.056056343,.073339291,.094992109,.11970314,.14935268,.18466608,.22612758,.22612758,.22612758,.22612758,.22612758,.22612758,.22612758,.22612758,.22612758,.22612758
GLOMIS,CircEular-A 2e17,AFR,Infrastructure|Buildings|Area,bn m2/yr,low,.0032900779,.0039980481,.0050060209,.006549445,.0084831156,.010689893,.013337697,.016491303,.020193955,.020193955,.020193955,.020193955,.020193955,.020193955,.020193955,.020193955,.020193955,.020193955
GLOMIS,CircEular-A 2e17,AFR,Infrastructure|Charging stations|Area,bn m2/yr,low,1.1900000e-07,1.4500000e-07,1.8199999e-07,2.3800000e-07,3.0800001e-07,3.8799999e-07,4.8400000e-07,5.9899997e-07,7.3299998e-07,7.3299998e-07,7.3299998e-07,7.3299998e-07,7.3299998e-07,7.3299998e-07,7.3299998e-07,7.3299998e-07,7.3299998e-07,7.3299998e-07
GLOMIS,CircEular-A 2e17,AFR,Infrastructure|Fuel stations|Area,bn m2/yr,low,.0067655472,.0082213804,.010294121,.01346794,.01744424,.021982145,.027426951,.033911861,.0415258,.0415258,.0415258,.0415258,.0415258,.0415258,.0415258,.0415258,.0415258,.0415258
GLOMIS,CircEular-A 2e17,AFR,Infrastructure|Parking|Area,bn m2/yr,low,.076428391,.092874512,.11628965,.15214334,.19706243,.24832579,.30983418,.38309231,.46910474,.46910474,.46910474,.46910474,.46910474,.46910474,.46910474,.46910474,.46910474,.46910474
GLOMIS,CircEular-A 2e17,AFR,Infrastructure|Rail|Area,bn m2/yr,low,.76701915,.932069,1.1670583,1.5268786,1.9776769,2.4921451,3.1094301,3.8446336,4.7078357,4.7078357,4.7078357,4.7078357,4.7078357,4.7078357,4.7078357,4.7078357,4.7078357,4.7078357
GLOMIS,CircEular-A 2e17,AFR,Infrastructure|Roads|Area,bn m2/yr,low,38.070324,46.262428,57.925922,75.785278,98.160271,123.69545,154.33386,190.82503,233.66933,233.66933,233.66933,233.66933,233.66933,233.66933,233.66933,233.66933,233.66933,233.66933
GLOMIS,CircEular-A 2e17,AFR,Infrastructure|Runways|Area,bn m2/yr,low,.021315292,.025901984,.032432288,.042431612,.0549592,.069256157,.086410373,.1068415,.13082971,.13082971,.13082971,.13082971,.13082971,.13082971,.13082971,.13082971,.13082971,.13082971
GLOMIS,CircEular-A 2e17,AFR,Infrastructure|Tunnels|Area,bn m2/yr,low,.0038268899,.004650373,.0058228062,.007618058,.0098672267,.012434064,.015513885,.019182034,.023488814,.023488814,.023488814,.023488814,.023488814,.023488814,.023488814,.023488814,.023488814,.023488814
GLOMIS,CircEular-A 2e17,CHN,Infrastructure|Bridges|Area,bn m2/yr,low,1.8563676,2.2723894,2.6453197,3.0010338,3.2251515,3.3548863,3.4572365,3.499893,3.5105791,3.5105791,3.5105791,3.5105791,3.5105791,3.5105791,3.5105791,3.5105791,3.5105791,3.5105791
GLOMIS,CircEular-A 2e17,CHN,Infrastructure|Buildings|Area,bn m2/yr,low,.040448833,.049513634,.057639495,.065390237,.070273586,.073100418,.075330541,.076259993,.076492839,.076492839,.076492839,.076492839,.076492839,.076492839,.076492839,.076492839,.076492839,.076492839
GLOMIS,CircEular-A 2e17,CHN,Infrastructure|Charging stations|Area,bn m2/yr,low,8.7100000e-07,1.0700001e-06,1.2400000e-06,1.4100000e-06,1.5099999e-06,1.5700000e-06,1.6200000e-06,1.6400001e-06,1.6499999e-06,1.6499999e-06,1.6499999e-06,1.6499999e-06,1.6499999e-06,1.6499999e-06,1.6499999e-06,1.6499999e-06,1.6499999e-06,1.6499999e-06
GLOMIS,CircEular-A 2e17,CHN,Infrastructure|Fuel stations|Area,bn m2/yr,low,.017828083,.021823451,.025404979,.028821165,.030973533,.032219473,.033202417,.03361208,.033714708,.033714708,.033714708,.033714708,.033714708,.033714708,.033714708,.033714708,.033714708,.033714708
GLOMIS,CircEular-A 2e17,CHN,Infrastructure|Parking|Area,bn m2/yr,low,.20702997,.25342649,.29501724,.33468801,.35968253,.37415111,.38556564,.39032289,.39151466,.39151466,.39151466,.39151466,.39151466,.39151466,.39151466,.39151466,.39151466,.39151466
GLOMIS,CircEular-A 2e17,CHN,Infrastructure|Rail|Area,bn m2/yr,low,1.9375566,2.3717735,2.761014,3.1322851,3.3662047,3.5016136,3.6084402,3.6529622,3.6641159,3.6641159,3.6641159,3.6641159,3.6641159,3.6641159,3.6641159,3.6641159,3.6641159,3.6641159
GLOMIS,CircEular-A 2e17,CHN,Infrastructure|Roads|Area,bn m2/yr,low,30.788157,37.68795,43.873058,49.772629,53.489658,55.641335,57.338825,58.046291,58.223526,58.223526,58.223526,58.223526,58.223526,58.223526,58.223526,58.223526,58.223526,58.223526
GLOMIS,CircEular-A 2e17,CHN,Infrastructure|Runways|Area,bn m2/yr,low,.049618695,.060738515,.070706539,.080214381,.086204819,.089672484,.092408195,.09354835,.093833983,.093833983,.093833983,.093833983,.093833983,.093833983,.093833983,.093833983,.093833983,.093833983
GLOMIS,CircEular-A 2e17,CHN,Infrastructure|Tunnels|Area,bn m2/yr,low,1.0379466,1.270556,1.4790717,1.6779612,1.8032717,1.87581,1.9330368,1.9568872,1.9628623,1.9628623,1.9628623,1.9628623,1.9628623,1.9628623,1.9628623,1.9628623,1.9628623,1.9628623
GLOMIS,CircEular-A 2e17,EEU,Infrastructure|Bridges|Area,bn m2/yr,low,.069473408,.079983987,.083707407,.08719445,.089777939,.096246794,.10262188,.10735454,.1100517,.1100517,.1100517,.1100517,.1100517,.1100517,.1100517,.1100517,.1100517,.1100517
GLOMIS,CircEular-A 2e17,EEU,Infrastructure|Buildings|Area,bn m2/yr,low,.017006142,.019578984,.020490428,.021344008,.021976411,.023559898,.025120433,.026278922,.02693915,.02693915,.02693915,.02693915,.02693915,.02693915,.02693915,.02693915,.02693915,.02693915
GLOMIS,CircEular-A 2e17,EEU,Infrastructure|Charging stations|Area,bn m2/yr,low,4.5600000e-06,5.2500000e-06,5.5000000e-06,5.7299999e-06,5.8999999e-06,6.3200000e-06,6.7400001e-06,7.0500000e-06,7.2299999e-06,7.2299999e-06,7.2299999e-06,7.2299999e-06,7.2299999e-06,7.2299999e-06,7.2299999e-06,7.2299999e-06,7.2299999e-06,7.2299999e-06
GLOMIS,CircEular-A 2e17,EEU,Infrastructure|Fuel stations|Area,bn m2/yr,low,.0080761956,.0092980359,.0097308792,.010136243,.01043657,.011188566,.011929663,.012479828,.012793369,.012793369,.012793369,.012793369,.012793369,.012793369,.012793369,.012793369,.012793369,.012793369
GLOMIS,CircEular-A 2e17,EEU,Infrastructure|Parking|Area,bn m2/yr,low,.39050248,.44958124,.47051021,.49011052,.50463206,.5409928,.57682645,.60342824,.61858863,.61858863,.61858863,.61858863,.61858863,.61858863,.61858863,.61858863,.61858863,.61858863
GLOMIS,CircEular-A 2e17,EEU,Infrastructure|Rail|Area,bn m2/yr,low,1.2825881,1.47663,1.5453702,1.6097465,1.6574416,1.776867,1.8945612,1.9819334,2.0317271,2.0317271,2.0317271,2.0317271,2.0317271,2.0317271,2.0317271,2.0317271,2.0317271,2.0317271
GLOMIS,CircEular-A 2e17,EEU,Infrastructure|Roads|Area,bn m2/yr,low,17.210596,19.814371,20.736774,21.600615,22.24062,23.843145,25.422443,26.594858,27.263025,27.263025,27.263025,27.263025,27.263025,27.263025,27.263025,27.263025,27.263025,27.263025
GLOMIS,CircEular-A 2e17,EEU,Infrastructure|Tunnels|Area,bn m2/yr,low,.025009818,.028793532,.030133933,.031389233,.032319266,.034648001,.036942977,.038646691,.039617643,.039617643,.039617643,.039617643,.039617643,.039617643,.039617643,.039617643,.039617643,.039617643
GLOMIS,CircEular-A 2e17,FSU,Infrastructure|Bridges|Area,bn m2/yr,low,.095033169,.10245284,.10750841,.11582433,.12362687,.1308644,.14561228,.16467547,.18141367,.18141367,.18141367,.18141367,.18141367,.18141367,.18141367,.18141367,.18141367,.18141367
GLOMIS,CircEular-A 2e17,FSU,Infrastructure|Buildings|Area,bn m2/yr,low,.024357753,.026259478,.027555261,.029686693,.031686544,.033541583,.037321582,.042207628,.046497758,.046497758,.046497758,.046497758,.046497758,.046497758,.046497758,.046497758,.046497758,.046497758
GLOMIS,CircEular-A 2e17,FSU,Infrastructure|Charging stations|Area,bn m2/yr,low,1.6600000e-06,1.7900001e-06,1.8800000e-06,2.0200000e-06,2.1599999e-06,2.2900001e-06,2.5400000e-06,2.8800000e-06,3.1699999e-06,3.1699999e-06,3.1699999e-06,3.1699999e-06,3.1699999e-06,3.1699999e-06,3.1699999e-06,3.1699999e-06,3.1699999e-06,3.1699999e-06
GLOMIS,CircEular-A 2e17,FSU,Infrastructure|Fuel stations|Area,bn m2/yr,low,.023564914,.025404736,.026658341,.028720398,.030655157,.032449812,.036106776,.040833775,.044984266,.044984266,.044984266,.044984266,.044984266,.044984266,.044984266,.044984266,.044984266,.044984266
GLOMIS,CircEular-A 2e17,FSU,Infrastructure|Parking|Area,bn m2/yr,low,.38275063,.41263372,.43299526,.466488,.49791306,.52706259,.58646047,.66323835,.73065215,.73065215,.73065215,.73065215,.73065215,.73065215,.73065215,.73065215,.73065215,.73065215
GLOMIS,CircEular-A 2e17,FSU,Infrastructure|Rail|Area,bn m2/yr,low,3.4403234,3.7089255,3.8919437,4.1929903,4.4754519,4.7374601,5.2713532,5.9614649,6.5674086,6.5674086,6.5674086,6.5674086,6.5674086,6.5674086,6.5674086,6.5674086,6.5674086,6.5674086
GLOMIS,CircEular-A 2e17,FSU,Infrastructure|Roads|Area,bn m2/yr,low,35.649658,38.432995,40.329483,43.449017,46.375969,49.090977,54.623333,61.774475,68.053452,68.053452,68.053452,68.053452,68.053452,68.053452,68.053452,68.053452,68.053452,68.053452
GLOMIS,CircEular-A 2e17,FSU,Infrastructure|Tunnels|Area,bn m2/yr,low,.028666455,.03090458,.032429572,.034938041,.037291653,.039474834,.04392349,.049673833,.054722857,.054722857,.054722857,.054722857,.054722857,.054722857,.054722857,.054722857,.054722857,.054722857
GLOMIS,CircEular-A 2e17,LAM,Infrastructure|Bridges|Area,bn m2/yr,low,.12450182,.14500053,.16045488,.18049778,.2015408,.24081677,.27518675,.31120738,.34243304,.34243304,.34243304,.34243304,.34243304,.34243304,.34243304,.34243304,.34243304,.34243304
GLOMIS,CircEular-A 2e17,LAM,Infrastructure|Buildings|Area,bn m2/yr,low,.0051586642,.0060080159,.006648358,.0074788248,.0083507309,.0099781081,.011402209,.012894706,.014188521,.014188521,.014188521,.014188521,.014188521,.014188521,.014188521,.014188521,.014188521,.014188521
GLOMIS,CircEular-A 2e17,LAM,Infrastructure|Charging stations|Area,bn m2/yr,low,4.7600000e-07,5.5499999e-07,6.1399999e-07,6.8999998e-07,7.7099997e-07,9.2099998e-07,1.0500000e-06,1.1900000e-06,1.3100000e-06,1.3100000e-06,1.3100000e-06,1.3100000e-06,1.3100000e-06,1.3100000e-06,1.3100000e-06,1.3100000e-06,1.3100000e-06,1.3100000e-06
GLOMIS,CircEular-A 2e17,LAM,Infrastructure|Fuel stations|Area,bn m2/yr,low,.037321433,.043466248,.048098937,.054107126,.060415108,.072188713,.082491666,.093289442,.10264982,.10264982,.10264982,.10264982,.10264982,.10264982,.10264982,.10264982,.10264982,.10264982
GLOMIS,CircEular-A 2e17,LAM,Infrastructure|Parking|Area,bn m2/yr,low,.30490333,.35510439,.39295191,.44203672,.4935708,.58975714,.6739288,.7621429,.83861399,.83861399,.83861399,.83861399,.83861399,.83861399,.83861399,.83861399,.83861399,.83861399
GLOMIS,CircEular-A 2e17,LAM,Infrastructure|Rail|Area,bn m2/yr,low,1.2207985,1.4217978,1.5733349,1.7698653,1.9762019,2.3613207,2.6983347,3.0515342,3.3577156,3.3577156,3.3577156,3.3577156,3.3577156,3.3577156,3.3577156,3.3577156,3.3577156,3.3577156
GLOMIS,CircEular-A 2e17,LAM,Infrastructure|Roads|Area,bn m2/yr,low,49.003239,57.071419,63.154163,71.042938,79.325363,94.784164,108.312,122.48954,134.77977,134.77977,134.77977,134.77977,134.77977,134.77977,134.77977,134.77977,134.77977,134.77977
GLOMIS,CircEular-A 2e17,LAM,Infrastructure|Tunnels|Area,bn m2/yr,low,.022883393,.026651045,.029491549,.033175431,.037043132,.04426204,.050579228,.057199817,.06293907,.06293907,.06293907,.06293907,.06293907,.06293907,.06293907,.06293907,.06293907,.06293907
GLOMIS,CircEular-A 2e17,MEA,Infrastructure|Bridges|Area,bn m2/yr,low,.084326923,.098884203,.13255611,.1638722,.19148324,.21902959,.24804246,.275969,.3028762,.3028762,.3028762,.3028762,.3028762,.3028762,.3028762,.3028762,.3028762,.3028762
GLOMIS,CircEular-A 2e17,MEA,Infrastructure|Buildings|Area,bn m2/yr,low,.0038054241,.0044623511,.0059818639,.0073950668,.0086410716,.0098841563,.011193422,.012453663,.013667906,.013667906,.013667906,.013667906,.013667906,.013667906,.013667906,.013667906,.013667906,.013667906
GLOMIS,CircEular-A 2e17,MEA,Infrastructure|Charging stations|Area,bn m2/yr,low,2.3600001e-07,2.7700000e-07,3.7100000e-07,4.5900001e-07,5.3700001e-07,6.1399999e-07,6.9499998e-07,7.7300001e-07,8.4900000e-07,8.4900000e-07,8.4900000e-07,8.4900000e-07,8.4900000e-07,8.4900000e-07,8.4900000e-07,8.4900000e-07,8.4900000e-07,8.4900000e-07
GLOMIS,CircEular-A 2e17,MEA,Infrastructure|Fuel stations|Area,bn m2/yr,low,.01744543,.020457018,.027423011,.033901639,.039613772,.04531252,.051314659,.057092059,.062658586,.062658586,.062658586,.062658586,.062658586,.062658586,.062658586,.062658586,.062658586,.062658586
GLOMIS,CircEular-A 2e17,MEA,Infrastructure|Parking|Area,bn m2/yr,low,.23017402,.26990873,.36181766,.44729629,.52266186,.59785074,.67704266,.75326943,.8267138,.8267138,.8267138,.8267138,.8267138,.8267138,.8267138,.8267138,.8267138,.8267138
GLOMIS,CircEular-A 2e17,MEA,Infrastructure|Rail|Area,bn m2/yr,low,.51415735,.60291588,.80821991,.99915999,1.1675099,1.3354652,1.5123622,1.6826355,1.846694,1.846694,1.846694,1.846694,1.846694,1.846694,1.846694,1.846694,1.846694,1.846694
GLOMIS,CircEular-A 2e17,MEA,Infrastructure|Roads|Area,bn m2/yr,low,21.40906,25.104883,33.653564,41.604141,48.614086,55.60759,62.973431,70.063461,76.894714,76.894714,76.894714,76.894714,76.894714,76.894714,76.894714,76.894714,76.894714,76.894714
GLOMIS,CircEular-A 2e17,MEA,Infrastructure|Tunnels|Area,bn m2/yr,low,.022989105,.026957694,.036137287,.044674642,.052201942,.059711587,.067621045,.075234346,.082569763,.082569763,.082569763,.082569763,.082569763,.082569763,.082569763,.082569763,.082569763,.082569763
GLOMIS,CircEular-A 2e17,NAM,Infrastructure|Bridges|Area,bn m2/yr,low,.4933427,.52096319,.52096319,.52628297,.57367015,.60601175,.62461555,.64022797,.65051383,.65051383,.65051383,.65051383,.65051383,.65051383,.65051383,.65051383,.65051383,.65051383
GLOMIS,CircEular-A 2e17,NAM,Infrastructure|Buildings|Area,bn m2/yr,low,.010257021,.010831275,.010831275,.010941878,.011927098,.012599508,.012986298,.013310894,.013524745,.013524745,.013524745,.013524745,.013524745,.013524745,.013524745,.013524745,.013524745,.013524745
GLOMIS,CircEular-A 2e17,NAM,Infrastructure|Charging stations|Area,bn m2/yr,low,7.1499999e-06,7.5500002e-06,7.5500002e-06,7.6199999e-06,8.3100003e-06,8.7799999e-06,9.0499998e-06,9.2800001e-06,9.4200004e-06,9.4200004e-06,9.4200004e-06,9.4200004e-06,9.4200004e-06,9.4200004e-06,9.4200004e-06,9.4200004e-06,9.4200004e-06,9.4200004e-06
GLOMIS,CircEular-A 2e17,NAM,Infrastructure|Fuel stations|Area,bn m2/yr,low,.044248167,.046725467,.046725467,.047202598,.051452786,.054353517,.056022104,.057422388,.05834493,.05834493,.05834493,.05834493,.05834493,.05834493,.05834493,.05834493,.05834493,.05834493
GLOMIS,CircEular-A 2e17,NAM,Infrastructure|Parking|Area,bn m2/yr,low,3.8827868,4.1001706,4.1001706,4.1420383,4.5149932,4.7695336,4.9159527,5.0388274,5.119782,5.119782,5.119782,5.119782,5.119782,5.119782,5.119782,5.119782,5.119782,5.119782
GLOMIS,CircEular-A 2e17,NAM,Infrastructure|Rail|Area,bn m2/yr,low,6.3593707,6.7154093,6.7154093,6.7839828,7.3948212,7.8117166,8.051527,8.2527761,8.3853645,8.3853645,8.3853645,8.3853645,8.3853645,8.3853645,8.3853645,8.3853645,8.3853645,8.3853645
GLOMIS,CircEular-A 2e17,NAM,Infrastructure|Roads|Area,bn m2/yr,low,88.069794,93.000511,93.000511,93.950165,102.40957,108.18307,111.50417,114.29123,116.12743,116.12743,116.12743,116.12743,116.12743,116.12743,116.12743,116.12743,116.12743,116.12743
GLOMIS,CircEular-A 2e17,NAM,Infrastructure|Runways|Area,bn m2/yr,low,3.2329724,3.413975,3.413975,3.4488366,3.7593744,3.9713151,4.0932298,4.1955409,4.2629461,4.2629461,4.2629461,4.2629461,4.2629461,4.2629461,4.2629461,4.2629461,4.2629461,4.2629461
GLOMIS,CircEular-A 2e17,NAM,Infrastructure|Tunnels|Area,bn m2/yr,low,.033303443,.035167988,.035167988,.035527095,.038726006,.040909249,.042165112,.043219037,.04391339,.04391339,.04391339,.04391339,.04391339,.04391339,.04391339,.04391339,.04391339,.04391339
GLOMIS,CircEular-A 2e17,PAO,Infrastructure|Bridges|Area,bn m2/yr,low,.31138748,.32451865,.32451865,.32451865,.32451865,.33732319,.35395375,.36261457,.37307313,.37307313,.37307313,.37307313,.37307313,.37307313,.37307313,.37307313,.37307313,.37307313
GLOMIS,CircEular-A 2e17,PAO,Infrastructure|Buildings|Area,bn m2/yr,low,.016152589,.016833741,.016833741,.016833741,.016833741,.017497949,.018360628,.018809889,.019352404,.019352404,.019352404,.019352404,.019352404,.019352404,.019352404,.019352404,.019352404,.019352404
GLOMIS,CircEular-A 2e17,PAO,Infrastructure|Charging stations|Area,bn m2/yr,low,1.3600001e-06,1.4100000e-06,1.4100000e-06,1.4100000e-06,1.4100000e-06,1.4700000e-06,1.5400000e-06,1.5800000e-06,1.6300000e-06,1.6300000e-06,1.6300000e-06,1.6300000e-06,1.6300000e-06,1.6300000e-06,1.6300000e-06,1.6300000e-06,1.6300000e-06,1.6300000e-06
GLOMIS,CircEular-A 2e17,PAO,Infrastructure|Fuel stations|Area,bn m2/yr,low,.013929582,.014516992,.014516992,.014516992,.014516992,.015089788,.015833739,.016221171,.016689021,.016689021,.016689021,.016689021,.016689021,.016689021,.016689021,.016689021,.016689021,.016689021
GLOMIS,CircEular-A 2e17,PAO,Infrastructure|Parking|Area,bn m2/yr,low,.63468575,.66145045,.66145045,.66145045,.66145045,.68754923,.72144657,.73909938,.76041657,.76041657,.76041657,.76041657,.76041657,.76041657,.76041657,.76041657,.76041657,.76041657
GLOMIS,CircEular-A 2e17,PAO,Infrastructure|Rail|Area,bn m2/yr,low,1.0070668,1.0495349,1.0495349,1.0495349,1.0495349,1.0909463,1.1447318,1.1727419,1.2065661,1.2065661,1.2065661,1.2065661,1.2065661,1.2065661,1.2065661,1.2065661,1.2065661,1.2065661
GLOMIS,CircEular-A 2e17,PAO,Infrastructure|Roads|Area,bn m2/yr,low,19.58687,20.412846,20.412846,20.412846,20.412846,21.218275,22.264372,22.809151,23.467014,23.467014,23.467014,23.467014,23.467014,23.467014,23.467014,23.467014,23.467014,23.467014
GLOMIS,CircEular-A 2e17,PAO,Infrastructure|Runways|Area,bn m2/yr,low,.042610269,.04440714,.04440714,.04440714,.04440714,.046159312,.04843504,.049620185,.05105133,.05105133,.05105133,.05105133,.05105133,.05105133,.05105133,.05105133,.05105133,.05105133
GLOMIS,CircEular-A 2e17,PAO,Infrastructure|Tunnels|Area,bn m2/yr,low,.18798594,.1959133,.1959133,.1959133,.1959133,.20364344,.2136834,.21891195,.22522581,.22522581,.22522581,.22522581,.22522581,.22522581,.22522581,.22522581,.22522581,.22522581
GLOMIS,CircEular-A 2e17,PAS,Infrastructure|Bridges|Area,bn m2/yr,low,.24564098,.28414798,.34450579,.39944217,.45192653,.49369851,.52309126,.55058217,.57234222,.57234222,.57234222,.57234222,.57234222,.57234222,.57234222,.57234222,.57234222,.57234222
GLOMIS,CircEular-A 2e17,PAS,Infrastructure|Buildings|Area,bn m2/yr,low,.011216644,.01297498,.015731085,.018239632,.020636212,.022543633,.023885792,.025141099,.026134724,.026134724,.026134724,.026134724,.026134724,.026134724,.026134724,.026134724,.026134724,.026134724
GLOMIS,CircEular-A 2e17,PAS,Infrastructure|Charging stations|Area,bn m2/yr,low,8.1799999e-07,9.4699999e-07,1.1500000e-06,1.3300000e-06,1.5099999e-06,1.6400001e-06,1.7400000e-06,1.8300000e-06,1.9100000e-06,1.9100000e-06,1.9100000e-06,1.9100000e-06,1.9100000e-06,1.9100000e-06,1.9100000e-06,1.9100000e-06,1.9100000e-06,1.9100000e-06
GLOMIS,CircEular-A 2e17,PAS,Infrastructure|Fuel stations|Area,bn m2/yr,low,.021144472,.024459107,.029654631,.034383487,.038901281,.042496957,.045027047,.047393434,.04926651,.04926651,.04926651,.04926651,.04926651,.04926651,.04926651,.04926651,.04926651,.04926651
GLOMIS,CircEular-A 2e17,PAS,Infrastructure|Parking|Area,bn m2/yr,low,.20629795,.23863749,.28932813,.33546567,.3795439,.41462541,.43931049,.46239835,.48067322,.48067322,.48067322,.48067322,.48067322,.48067322,.48067322,.48067322,.48067322,.48067322
GLOMIS,CircEular-A 2e17,PAS,Infrastructure|Rail|Area,bn m2/yr,low,.33303648,.38524371,.46707597,.54155797,.61271554,.66934925,.70919955,.74647135,.77597332,.77597332,.77597332,.77597332,.77597332,.77597332,.77597332,.77597332,.77597332,.77597332
GLOMIS,CircEular-A 2e17,PAS,Infrastructure|Roads|Area,bn m2/yr,low,21.728382,25.134554,30.473557,35.333,39.975552,43.670525,46.270489,48.702217,50.627022,50.627022,50.627022,50.627022,50.627022,50.627022,50.627022,50.627022,50.627022,50.627022
GLOMIS,CircEular-A 2e17,PAS,Infrastructure|Tunnels|Area,bn m2/yr,low,.093555577,.10822147,.13120954,.15213278,.17212212,.18803152,.19922614,.20969641,.21798401,.21798401,.21798401,.21798401,.21798401,.21798401,.21798401,.21798401,.21798401,.21798401
GLOMIS,CircEular-A 2e17,RCPA,Infrastructure|Bridges|Area,bn m2/yr,low,.037773803,.047298368,.059704646,.076687478,.093561187,.10852784,.12219413,.13384065,.14527066,.14527066,.14527066,.14527066,.14527066,.14527066,.14527066,.14527066,.14527066,.14527066
GLOMIS,CircEular-A 2e17,RCPA,Infrastructure|Buildings|Area,bn m2/yr,low,.00092005503,.001152044,.0014542229,.0018678739,.0022788651,.002643408,.0029762769,.003259951,.003538351,.003538351,.003538351,.003538351,.003538351,.003538351,.003538351,.003538351,.003538351,.003538351
GLOMIS,CircEular-A 2e17,RCPA,Infrastructure|Charging stations|Area,bn m2/yr,low,1.5300000e-07,1.9200000e-07,2.4200000e-07,3.1100001e-07,3.7900000e-07,4.4000001e-07,4.9499999e-07,5.4200001e-07,5.8900002e-07,5.8900002e-07,5.8900002e-07,5.8900002e-07,5.8900002e-07,5.8900002e-07,5.8900002e-07,5.8900002e-07,5.8900002e-07,5.8900002e-07
GLOMIS,CircEular-A 2e17,RCPA,Infrastructure|Fuel stations|Area,bn m2/yr,low,.0015701459,.0019660541,.002481747,.0031876729,.0038890629,.0045111831,.0050792499,.005563362,.0060384739,.0060384739,.0060384739,.0060384739,.0060384739,.0060384739,.0060384739,.0060384739,.0060384739,.0060384739
GLOMIS,CircEular-A 2e17,RCPA,Infrastructure|Parking|Area,bn m2/yr,low,.0099865226,.012504598,.015784534,.020274403,.024735419,.02869226,.032305311,.035384383,.038406212,.038406212,.038406212,.038406212,.038406212,.038406212,.038406212,.038406212,.038406212,.038406212
GLOMIS,CircEular-A 2e17,RCPA,Infrastructure|Rail|Area,bn m2/yr,low,.14092022,.17645288,.22273618,.28609291,.34904251,.40487763,.45586151,.49931043,.5419516,.5419516,.5419516,.5419516,.5419516,.5419516,.5419516,.5419516,.5419516,.5419516
GLOMIS,CircEular-A 2e17,RCPA,Infrastructure|Roads|Area,bn m2/yr,low,5.6079793,7.0220165,8.8638792,11.385187,13.890292,16.112274,18.141201,19.870268,21.567194,21.567194,21.567194,21.567194,21.567194,21.567194,21.567194,21.567194,21.567194,21.567194
GLOMIS,CircEular-A 2e17,RCPA,Infrastructure|Tunnels|Area,bn m2/yr,low,.00731713,.0091621252,.011565335,.014855065,.018123655,.021022832,.023670116,.025926154,.028140254,.028140254,.028140254,.028140254,.028140254,.028140254,.028140254,.028140254,.028140254,.028140254
