node_loc,technology,year_act,time,value,unit
R12_MEA,loil_shipped_exp_sas,broadcast,year,,GWa
R12_MEA,loil_shipped_exp_weu,broadcast,year,,GWa
R12_NAM,loil_shipped_exp_afr,broadcast,year,,GWa
R12_NAM,loil_shipped_exp_rcpa,broadcast,year,,GWa
R12_NAM,loil_shipped_exp_chn,broadcast,year,,GWa
R12_NAM,loil_shipped_exp_eeu,broadcast,year,,GWa
R12_NAM,loil_shipped_exp_fsu,broadcast,year,,GWa
R12_NAM,loil_shipped_exp_lam,broadcast,year,,GWa
R12_NAM,loil_shipped_exp_mea,broadcast,year,,GWa
R12_NAM,loil_shipped_exp_pao,broadcast,year,,GWa
R12_NAM,loil_shipped_exp_pas,broadcast,year,,GWa
R12_NAM,loil_shipped_exp_sas,broadcast,year,,GWa
R12_NAM,loil_shipped_exp_weu,broadcast,year,,GWa
R12_PAO,loil_shipped_exp_afr,broadcast,year,,GWa
R12_PAO,loil_shipped_exp_rcpa,broadcast,year,,GWa
R12_PAO,loil_shipped_exp_chn,broadcast,year,,GWa
R12_PAO,loil_shipped_exp_eeu,broadcast,year,,GWa
R12_PAO,loil_shipped_exp_fsu,broadcast,year,,GWa
R12_PAO,loil_shipped_exp_lam,broadcast,year,,GWa
R12_PAO,loil_shipped_exp_mea,broadcast,year,,GWa
R12_PAO,loil_shipped_exp_nam,broadcast,year,,GWa
R12_PAO,loil_shipped_exp_pas,broadcast,year,,GWa
R12_PAO,loil_shipped_exp_sas,broadcast,year,,GWa
R12_PAO,loil_shipped_exp_weu,broadcast,year,,GWa
R12_PAS,loil_shipped_exp_afr,broadcast,year,,GWa
R12_PAS,loil_shipped_exp_rcpa,broadcast,year,,GWa
R12_PAS,loil_shipped_exp_chn,broadcast,year,,GWa
R12_PAS,loil_shipped_exp_eeu,broadcast,year,,GWa
R12_PAS,loil_shipped_exp_fsu,broadcast,year,,GWa
R12_PAS,loil_shipped_exp_lam,broadcast,year,,GWa
R12_PAS,loil_shipped_exp_mea,broadcast,year,,GWa
R12_PAS,loil_shipped_exp_nam,broadcast,year,,GWa
R12_PAS,loil_shipped_exp_pao,broadcast,year,,GWa
R12_PAS,loil_shipped_exp_sas,broadcast,year,,GWa
R12_PAS,loil_shipped_exp_weu,broadcast,year,,GWa
R12_SAS,loil_shipped_exp_afr,broadcast,year,,GWa
R12_SAS,loil_shipped_exp_rcpa,broadcast,year,,GWa
R12_SAS,loil_shipped_exp_chn,broadcast,year,,GWa
R12_SAS,loil_shipped_exp_eeu,broadcast,year,,GWa
R12_SAS,loil_shipped_exp_fsu,broadcast,year,,GWa
R12_SAS,loil_shipped_exp_lam,broadcast,year,,GWa
R12_SAS,loil_shipped_exp_mea,broadcast,year,,GWa
R12_SAS,loil_shipped_exp_nam,broadcast,year,,GWa
R12_SAS,loil_shipped_exp_pao,broadcast,year,,GWa
R12_SAS,loil_shipped_exp_pas,broadcast,year,,GWa
R12_SAS,loil_shipped_exp_weu,broadcast,year,,GWa
R12_WEU,loil_shipped_exp_afr,broadcast,year,,GWa
R12_WEU,loil_shipped_exp_rcpa,broadcast,year,,GWa
R12_WEU,loil_shipped_exp_chn,broadcast,year,,GWa
R12_WEU,loil_shipped_exp_eeu,broadcast,year,,GWa
R12_WEU,loil_shipped_exp_fsu,broadcast,year,,GWa
R12_WEU,loil_shipped_exp_lam,broadcast,year,,GWa
R12_WEU,loil_shipped_exp_mea,broadcast,year,,GWa
R12_WEU,loil_shipped_exp_nam,broadcast,year,,GWa
R12_WEU,loil_shipped_exp_pao,broadcast,year,,GWa
R12_WEU,loil_shipped_exp_pas,broadcast,year,,GWa
R12_WEU,loil_shipped_exp_sas,broadcast,year,,GWa
R12_RCPA,loil_shipped_imp,broadcast,year,,GWa
R12_CHN,loil_shipped_imp,broadcast,year,,GWa
R12_EEU,loil_shipped_imp,broadcast,year,,GWa
R12_FSU,loil_shipped_imp,broadcast,year,,GWa
R12_LAM,loil_shipped_imp,broadcast,year,,GWa
R12_MEA,loil_shipped_imp,broadcast,year,,GWa
R12_NAM,loil_shipped_imp,broadcast,year,,GWa
R12_PAO,loil_shipped_imp,broadcast,year,,GWa
R12_PAS,loil_shipped_imp,broadcast,year,,GWa
R12_SAS,loil_shipped_imp,broadcast,year,,GWa
R12_WEU,loil_shipped_imp,broadcast,year,,GWa
R12_AFR,loil_shipped_imp,broadcast,year,,GWa
