node_loc,technology,year_act,time,value,unit
R12_AFR,LNG_shipped_exp_rcpa,broadcast,year,,GWa
R12_AFR,LNG_shipped_exp_chn,broadcast,year,,GWa
R12_AFR,LNG_shipped_exp_eeu,broadcast,year,,GWa
R12_AFR,LNG_shipped_exp_fsu,broadcast,year,,GWa
R12_AFR,LNG_shipped_exp_lam,broadcast,year,,GWa
R12_AFR,LNG_shipped_exp_mea,broadcast,year,,GWa
R12_AFR,LNG_shipped_exp_nam,broadcast,year,,GWa
R12_AFR,LNG_shipped_exp_pao,broadcast,year,,GWa
R12_AFR,LNG_shipped_exp_pas,broadcast,year,,GWa
R12_AFR,LNG_shipped_exp_sas,broadcast,year,,GWa
R12_AFR,LNG_shipped_exp_weu,broadcast,year,,GWa
R12_RCPA,LNG_shipped_exp_afr,broadcast,year,,GWa
R12_RCPA,LNG_shipped_exp_chn,broadcast,year,,GWa
R12_RCPA,LNG_shipped_exp_eeu,broadcast,year,,GWa
R12_RCPA,LNG_shipped_exp_fsu,broadcast,year,,GWa
R12_RCPA,LNG_shipped_exp_lam,broadcast,year,,GWa
R12_RCPA,LNG_shipped_exp_mea,broadcast,year,,GWa
R12_RCPA,LNG_shipped_exp_nam,broadcast,year,,GWa
R12_RCPA,LNG_shipped_exp_pao,broadcast,year,,GWa
R12_RCPA,LNG_shipped_exp_pas,broadcast,year,,GWa
R12_RCPA,LNG_shipped_exp_sas,broadcast,year,,GWa
R12_RCPA,LNG_shipped_exp_weu,broadcast,year,,GWa
R12_CHN,LNG_shipped_exp_afr,broadcast,year,,GWa
R12_CHN,LNG_shipped_exp_rcpa,broadcast,year,,GWa
R12_CHN,LNG_shipped_exp_eeu,broadcast,year,,GWa
R12_CHN,LNG_shipped_exp_fsu,broadcast,year,,GWa
R12_CHN,LNG_shipped_exp_lam,broadcast,year,,GWa
R12_CHN,LNG_shipped_exp_mea,broadcast,year,,GWa
R12_CHN,LNG_shipped_exp_nam,broadcast,year,,GWa
R12_CHN,LNG_shipped_exp_pao,broadcast,year,,GWa
R12_CHN,LNG_shipped_exp_pas,broadcast,year,,GWa
