node_loc,technology,year_act,value,unit,time
R12_FSU,LNG_shipped_exp_lam,broadcast,,GWa,year
R12_FSU,LNG_shipped_exp_mea,broadcast,,GWa,year
R12_FSU,LNG_shipped_exp_nam,broadcast,,GWa,year
R12_FSU,LNG_shipped_exp_pao,broadcast,,GWa,year
R12_FSU,LNG_shipped_exp_pas,broadcast,,GWa,year
R12_FSU,LNG_shipped_exp_sas,broadcast,,GWa,year
R12_FSU,LNG_shipped_exp_weu,broadcast,,GWa,year
R12_LAM,LNG_shipped_exp_afr,broadcast,,GWa,year
R12_LAM,LNG_shipped_exp_rcpa,broadcast,,GWa,year
R12_LAM,LNG_shipped_exp_chn,broadcast,,GWa,year
R12_LAM,LNG_shipped_exp_eeu,broadcast,,GWa,year
R12_LAM,LNG_shipped_exp_fsu,broadcast,,GWa,year
R12_LAM,LNG_shipped_exp_mea,broadcast,,GWa,year
R12_LAM,LNG_shipped_exp_nam,broadcast,,GWa,year
R12_LAM,LNG_shipped_exp_pao,broadcast,,GWa,year
R12_LAM,LNG_shipped_exp_pas,broadcast,,GWa,year
R12_LAM,LNG_shipped_exp_sas,broadcast,,GWa,year
R12_LAM,LNG_shipped_exp_weu,broadcast,,GWa,year
R12_MEA,LNG_shipped_exp_afr,broadcast,,GWa,year
R12_MEA,LNG_shipped_exp_rcpa,broadcast,,GWa,year
R12_MEA,LNG_shipped_exp_chn,broadcast,,GWa,year
R12_MEA,LNG_shipped_exp_eeu,broadcast,,GWa,year
R12_MEA,LNG_shipped_exp_fsu,broadcast,,GWa,year
R12_MEA,LNG_shipped_exp_lam,broadcast,,GWa,year
R12_MEA,LNG_shipped_exp_nam,broadcast,,GWa,year
R12_MEA,LNG_shipped_exp_pao,broadcast,,GWa,year
R12_MEA,LNG_shipped_exp_pas,broadcast,,GWa,year
R12_MEA,LNG_shipped_exp_sas,broadcast,,GWa,year
R12_MEA,LNG_shipped_exp_weu,broadcast,,GWa,year
R12_NAM,LNG_shipped_exp_afr,broadcast,,GWa,year
R12_NAM,LNG_shipped_exp_rcpa,broadcast,,GWa,year
R12_NAM,LNG_shipped_exp_chn,broadcast,,GWa,year
R12_NAM,LNG_shipped_exp_eeu,broadcast,,GWa,year
R12_NAM,LNG_shipped_exp_fsu,broadcast,,GWa,year
R12_NAM,LNG_shipped_exp_lam,broadcast,,GWa,year
R12_NAM,LNG_shipped_exp_mea,broadcast,,GWa,year
R12_NAM,LNG_shipped_exp_pao,broadcast,,GWa,year
R12_NAM,LNG_shipped_exp_pas,broadcast,,GWa,year
R12_NAM,LNG_shipped_exp_sas,broadcast,,GWa,year
R12_NAM,LNG_shipped_exp_weu,broadcast,,GWa,year
R12_PAO,LNG_shipped_exp_afr,broadcast,,GWa,year
R12_PAO,LNG_shipped_exp_rcpa,broadcast,,GWa,year
R12_PAO,LNG_shipped_exp_chn,broadcast,,GWa,year
R12_PAO,LNG_shipped_exp_eeu,broadcast,,GWa,year
R12_PAO,LNG_shipped_exp_fsu,broadcast,,GWa,year
R12_PAO,LNG_shipped_exp_lam,broadcast,,GWa,year
R12_PAO,LNG_shipped_exp_mea,broadcast,,GWa,year
R12_PAO,LNG_shipped_exp_nam,broadcast,,GWa,year
R12_PAO,LNG_shipped_exp_pas,broadcast,,GWa,year
R12_PAO,LNG_shipped_exp_sas,broadcast,,GWa,year
R12_PAO,LNG_shipped_exp_weu,broadcast,,GWa,year
R12_PAS,LNG_shipped_exp_afr,broadcast,,GWa,year
R12_PAS,LNG_shipped_exp_rcpa,broadcast,,GWa,year
R12_PAS,LNG_shipped_exp_chn,broadcast,,GWa,year
R12_PAS,LNG_shipped_exp_eeu,broadcast,,GWa,year
R12_PAS,LNG_shipped_exp_fsu,broadcast,,GWa,year
R12_PAS,LNG_shipped_exp_lam,broadcast,,GWa,year
R12_PAS,LNG_shipped_exp_mea,broadcast,,GWa,year
R12_PAS,LNG_shipped_exp_nam,broadcast,,GWa,year
R12_PAS,LNG_shipped_exp_pao,broadcast,,GWa,year
R12_PAS,LNG_shipped_exp_sas,broadcast,,GWa,year
R12_PAS,LNG_shipped_exp_weu,broadcast,,GWa,year
R12_SAS,LNG_shipped_exp_afr,broadcast,,GWa,year
R12_SAS,LNG_shipped_exp_rcpa,broadcast,,GWa,year
R12_SAS,LNG_shipped_exp_chn,broadcast,,GWa,year
R12_SAS,LNG_shipped_exp_eeu,broadcast,,GWa,year
R12_SAS,LNG_shipped_exp_fsu,broadcast,,GWa,year
R12_SAS,LNG_shipped_exp_lam,broadcast,,GWa,year
R12_SAS,LNG_shipped_exp_mea,broadcast,,GWa,year
R12_SAS,LNG_shipped_exp_nam,broadcast,,GWa,year
R12_SAS,LNG_shipped_exp_pao,broadcast,,GWa,year
R12_SAS,LNG_shipped_exp_pas,broadcast,,GWa,year
R12_SAS,LNG_shipped_exp_weu,broadcast,,GWa,year
R12_WEU,LNG_shipped_exp_afr,broadcast,,GWa,year
R12_WEU,LNG_shipped_exp_rcpa,broadcast,,GWa,year
R12_WEU,LNG_shipped_exp_chn,broadcast,,GWa,year
R12_WEU,LNG_shipped_exp_eeu,broadcast,,GWa,year
R12_WEU,LNG_shipped_exp_fsu,broadcast,,GWa,year
R12_WEU,LNG_shipped_exp_lam,broadcast,,GWa,year
R12_WEU,LNG_shipped_exp_mea,broadcast,,GWa,year
R12_WEU,LNG_shipped_exp_nam,broadcast,,GWa,year
R12_WEU,LNG_shipped_exp_pao,broadcast,,GWa,year
R12_WEU,LNG_shipped_exp_pas,broadcast,,GWa,year
R12_WEU,LNG_shipped_exp_sas,broadcast,,GWa,year
R12_RCPA,LNG_shipped_imp,broadcast,,GWa,year
R12_CHN,LNG_shipped_imp,broadcast,,GWa,year
R12_EEU,LNG_shipped_imp,broadcast,,GWa,year
R12_FSU,LNG_shipped_imp,broadcast,,GWa,year
R12_LAM,LNG_shipped_imp,broadcast,,GWa,year
R12_MEA,LNG_shipped_imp,broadcast,,GWa,year
R12_NAM,LNG_shipped_imp,broadcast,,GWa,year
R12_PAO,LNG_shipped_imp,broadcast,,GWa,year
R12_PAS,LNG_shipped_imp,broadcast,,GWa,year
R12_SAS,LNG_shipped_imp,broadcast,,GWa,year
R12_WEU,LNG_shipped_imp,broadcast,,GWa,year
R12_AFR,LNG_shipped_imp,broadcast,,GWa,year
