node_loc,technology,year_act,value,unit,time
R12_MEA,LNG_shipped_exp_nam,broadcast,2,GWa,year
R12_MEA,LNG_shipped_exp_pao,broadcast,2,GWa,year
R12_MEA,LNG_shipped_exp_pas,broadcast,2,GWa,year
R12_MEA,LNG_shipped_exp_sas,broadcast,2,GWa,year
R12_MEA,LNG_shipped_exp_weu,broadcast,2,GWa,year
R12_NAM,LNG_shipped_exp_afr,broadcast,2,GWa,year
R12_NAM,LNG_shipped_exp_rcpa,broadcast,2,GWa,year
R12_NAM,LNG_shipped_exp_chn,broadcast,2,GWa,year
R12_NAM,LNG_shipped_exp_eeu,broadcast,2,GWa,year
R12_NAM,LNG_shipped_exp_fsu,broadcast,2,GWa,year
R12_NAM,LNG_shipped_exp_lam,broadcast,2,GWa,year
R12_NAM,LNG_shipped_exp_mea,broadcast,2,GWa,year
R12_NAM,LNG_shipped_exp_pao,broadcast,2,GWa,year
R12_NAM,LNG_shipped_exp_pas,broadcast,2,GWa,year
R12_NAM,LNG_shipped_exp_sas,broadcast,2,GWa,year
R12_NAM,LNG_shipped_exp_weu,broadcast,2,GWa,year
R12_PAO,LNG_shipped_exp_afr,broadcast,2,GWa,year
R12_PAO,LNG_shipped_exp_rcpa,broadcast,2,GWa,year
R12_PAO,LNG_shipped_exp_chn,broadcast,2,GWa,year
R12_PAO,LNG_shipped_exp_eeu,broadcast,2,GWa,year
R12_PAO,LNG_shipped_exp_fsu,broadcast,2,GWa,year
R12_PAO,LNG_shipped_exp_lam,broadcast,2,GWa,year
R12_PAO,LNG_shipped_exp_mea,broadcast,2,GWa,year
R12_PAO,LNG_shipped_exp_nam,broadcast,2,GWa,year
R12_PAO,LNG_shipped_exp_pas,broadcast,2,GWa,year
R12_PAO,LNG_shipped_exp_sas,broadcast,2,GWa,year
R12_PAO,LNG_shipped_exp_weu,broadcast,2,GWa,year
R12_PAS,LNG_shipped_exp_afr,broadcast,2,GWa,year
R12_PAS,LNG_shipped_exp_rcpa,broadcast,2,GWa,year
R12_PAS,LNG_shipped_exp_chn,broadcast,2,GWa,year
R12_PAS,LNG_shipped_exp_eeu,broadcast,2,GWa,year
R12_PAS,LNG_shipped_exp_fsu,broadcast,2,GWa,year
R12_PAS,LNG_shipped_exp_lam,broadcast,2,GWa,year
R12_PAS,LNG_shipped_exp_mea,broadcast,2,GWa,year
R12_PAS,LNG_shipped_exp_nam,broadcast,2,GWa,year
R12_PAS,LNG_shipped_exp_pao,broadcast,2,GWa,year
R12_PAS,LNG_shipped_exp_sas,broadcast,2,GWa,year
R12_PAS,LNG_shipped_exp_weu,broadcast,2,GWa,year
R12_SAS,LNG_shipped_exp_afr,broadcast,2,GWa,year
R12_SAS,LNG_shipped_exp_rcpa,broadcast,2,GWa,year
R12_SAS,LNG_shipped_exp_chn,broadcast,2,GWa,year
R12_SAS,LNG_shipped_exp_eeu,broadcast,2,GWa,year
R12_SAS,LNG_shipped_exp_fsu,broadcast,2,GWa,year
R12_SAS,LNG_shipped_exp_lam,broadcast,2,GWa,year
R12_SAS,LNG_shipped_exp_mea,broadcast,2,GWa,year
R12_SAS,LNG_shipped_exp_nam,broadcast,2,GWa,year
R12_SAS,LNG_shipped_exp_pao,broadcast,2,GWa,year
R12_SAS,LNG_shipped_exp_pas,broadcast,2,GWa,year
R12_SAS,LNG_shipped_exp_weu,broadcast,2,GWa,year
R12_WEU,LNG_shipped_exp_afr,broadcast,2,GWa,year
R12_WEU,LNG_shipped_exp_rcpa,broadcast,2,GWa,year
R12_WEU,LNG_shipped_exp_chn,broadcast,2,GWa,year
R12_WEU,LNG_shipped_exp_eeu,broadcast,2,GWa,year
R12_WEU,LNG_shipped_exp_fsu,broadcast,2,GWa,year
R12_WEU,LNG_shipped_exp_lam,broadcast,2,GWa,year
R12_WEU,LNG_shipped_exp_mea,broadcast,2,GWa,year
R12_WEU,LNG_shipped_exp_nam,broadcast,2,GWa,year
R12_WEU,LNG_shipped_exp_pao,broadcast,2,GWa,year
R12_WEU,LNG_shipped_exp_pas,broadcast,2,GWa,year
R12_WEU,LNG_shipped_exp_sas,broadcast,2,GWa,year
R12_RCPA,LNG_shipped_imp,broadcast,2,GWa,year
R12_CHN,LNG_shipped_imp,broadcast,2,GWa,year
R12_EEU,LNG_shipped_imp,broadcast,2,GWa,year
R12_FSU,LNG_shipped_imp,broadcast,2,GWa,year
R12_LAM,LNG_shipped_imp,broadcast,2,GWa,year
R12_MEA,LNG_shipped_imp,broadcast,2,GWa,year
R12_NAM,LNG_shipped_imp,broadcast,2,GWa,year
R12_PAO,LNG_shipped_imp,broadcast,2,GWa,year
R12_PAS,LNG_shipped_imp,broadcast,2,GWa,year
R12_SAS,LNG_shipped_imp,broadcast,2,GWa,year
R12_WEU,LNG_shipped_imp,broadcast,2,GWa,year
R12_AFR,LNG_shipped_imp,broadcast,2,GWa,year
