node_loc,technology,year_vtg,year_act,mode,node_dest,commodity,level,time,time_dest,value,unit
R12_MEA,lh2_shipped_exp_fsu,broadcast,broadcast,M1,R12_FSU,lh2,shipped,year,year,1,GWa
R12_MEA,lh2_shipped_exp_lam,broadcast,broadcast,M1,R12_LAM,lh2,shipped,year,year,1,GWa
R12_MEA,lh2_shipped_exp_nam,broadcast,broadcast,M1,R12_NAM,lh2,shipped,year,year,1,GWa
R12_MEA,lh2_shipped_exp_pao,broadcast,broadcast,M1,R12_PAO,lh2,shipped,year,year,1,GWa
R12_MEA,lh2_shipped_exp_pas,broadcast,broadcast,M1,R12_PAS,lh2,shipped,year,year,1,GWa
R12_MEA,lh2_shipped_exp_sas,broadcast,broadcast,M1,R12_SAS,lh2,shipped,year,year,1,GWa
R12_MEA,lh2_shipped_exp_weu,broadcast,broadcast,M1,R12_WEU,lh2,shipped,year,year,1,GWa
R12_NAM,lh2_shipped_exp_afr,broadcast,broadcast,M1,R12_AFR,lh2,shipped,year,year,1,GWa
R12_NAM,lh2_shipped_exp_rcpa,broadcast,broadcast,M1,R12_RCPA,lh2,shipped,year,year,1,GWa
R12_NAM,lh2_shipped_exp_chn,broadcast,broadcast,M1,R12_CHN,lh2,shipped,year,year,1,GWa
R12_NAM,lh2_shipped_exp_eeu,broadcast,broadcast,M1,R12_EEU,lh2,shipped,year,year,1,GWa
R12_NAM,lh2_shipped_exp_fsu,broadcast,broadcast,M1,R12_FSU,lh2,shipped,year,year,1,GWa
R12_NAM,lh2_shipped_exp_lam,broadcast,broadcast,M1,R12_LAM,lh2,shipped,year,year,1,GWa
R12_NAM,lh2_shipped_exp_mea,broadcast,broadcast,M1,R12_MEA,lh2,shipped,year,year,1,GWa
R12_NAM,lh2_shipped_exp_pao,broadcast,broadcast,M1,R12_PAO,lh2,shipped,year,year,1,GWa
R12_NAM,lh2_shipped_exp_pas,broadcast,broadcast,M1,R12_PAS,lh2,shipped,year,year,1,GWa
R12_NAM,lh2_shipped_exp_sas,broadcast,broadcast,M1,R12_SAS,lh2,shipped,year,year,1,GWa
R12_NAM,lh2_shipped_exp_weu,broadcast,broadcast,M1,R12_WEU,lh2,shipped,year,year,1,GWa
R12_PAO,lh2_shipped_exp_afr,broadcast,broadcast,M1,R12_AFR,lh2,shipped,year,year,1,GWa
R12_PAO,lh2_shipped_exp_rcpa,broadcast,broadcast,M1,R12_RCPA,lh2,shipped,year,year,1,GWa
R12_PAO,lh2_shipped_exp_chn,broadcast,broadcast,M1,R12_CHN,lh2,shipped,year,year,1,GWa
R12_PAO,lh2_shipped_exp_eeu,broadcast,broadcast,M1,R12_EEU,lh2,shipped,year,year,1,GWa
R12_PAO,lh2_shipped_exp_fsu,broadcast,broadcast,M1,R12_FSU,lh2,shipped,year,year,1,GWa
R12_PAO,lh2_shipped_exp_lam,broadcast,broadcast,M1,R12_LAM,lh2,shipped,year,year,1,GWa
R12_PAO,lh2_shipped_exp_mea,broadcast,broadcast,M1,R12_MEA,lh2,shipped,year,year,1,GWa
R12_PAO,lh2_shipped_exp_nam,broadcast,broadcast,M1,R12_NAM,lh2,shipped,year,year,1,GWa
R12_PAO,lh2_shipped_exp_pas,broadcast,broadcast,M1,R12_PAS,lh2,shipped,year,year,1,GWa
R12_PAO,lh2_shipped_exp_sas,broadcast,broadcast,M1,R12_SAS,lh2,shipped,year,year,1,GWa
R12_PAO,lh2_shipped_exp_weu,broadcast,broadcast,M1,R12_WEU,lh2,shipped,year,year,1,GWa
R12_PAS,lh2_shipped_exp_afr,broadcast,broadcast,M1,R12_AFR,lh2,shipped,year,year,1,GWa
R12_PAS,lh2_shipped_exp_rcpa,broadcast,broadcast,M1,R12_RCPA,lh2,shipped,year,year,1,GWa
R12_PAS,lh2_shipped_exp_chn,broadcast,broadcast,M1,R12_CHN,lh2,shipped,year,year,1,GWa
R12_PAS,lh2_shipped_exp_eeu,broadcast,broadcast,M1,R12_EEU,lh2,shipped,year,year,1,GWa
R12_PAS,lh2_shipped_exp_fsu,broadcast,broadcast,M1,R12_FSU,lh2,shipped,year,year,1,GWa
R12_PAS,lh2_shipped_exp_lam,broadcast,broadcast,M1,R12_LAM,lh2,shipped,year,year,1,GWa
R12_PAS,lh2_shipped_exp_mea,broadcast,broadcast,M1,R12_MEA,lh2,shipped,year,year,1,GWa
R12_PAS,lh2_shipped_exp_nam,broadcast,broadcast,M1,R12_NAM,lh2,shipped,year,year,1,GWa
R12_PAS,lh2_shipped_exp_pao,broadcast,broadcast,M1,R12_PAO,lh2,shipped,year,year,1,GWa
R12_PAS,lh2_shipped_exp_sas,broadcast,broadcast,M1,R12_SAS,lh2,shipped,year,year,1,GWa
R12_PAS,lh2_shipped_exp_weu,broadcast,broadcast,M1,R12_WEU,lh2,shipped,year,year,1,GWa
R12_SAS,lh2_shipped_exp_afr,broadcast,broadcast,M1,R12_AFR,lh2,shipped,year,year,1,GWa
R12_SAS,lh2_shipped_exp_rcpa,broadcast,broadcast,M1,R12_RCPA,lh2,shipped,year,year,1,GWa
R12_SAS,lh2_shipped_exp_chn,broadcast,broadcast,M1,R12_CHN,lh2,shipped,year,year,1,GWa
R12_SAS,lh2_shipped_exp_eeu,broadcast,broadcast,M1,R12_EEU,lh2,shipped,year,year,1,GWa
R12_SAS,lh2_shipped_exp_fsu,broadcast,broadcast,M1,R12_FSU,lh2,shipped,year,year,1,GWa
R12_SAS,lh2_shipped_exp_lam,broadcast,broadcast,M1,R12_LAM,lh2,shipped,year,year,1,GWa
R12_SAS,lh2_shipped_exp_mea,broadcast,broadcast,M1,R12_MEA,lh2,shipped,year,year,1,GWa
R12_SAS,lh2_shipped_exp_nam,broadcast,broadcast,M1,R12_NAM,lh2,shipped,year,year,1,GWa
R12_SAS,lh2_shipped_exp_pao,broadcast,broadcast,M1,R12_PAO,lh2,shipped,year,year,1,GWa
R12_SAS,lh2_shipped_exp_pas,broadcast,broadcast,M1,R12_PAS,lh2,shipped,year,year,1,GWa
R12_SAS,lh2_shipped_exp_weu,broadcast,broadcast,M1,R12_WEU,lh2,shipped,year,year,1,GWa
R12_WEU,lh2_shipped_exp_afr,broadcast,broadcast,M1,R12_AFR,lh2,shipped,year,year,1,GWa
R12_WEU,lh2_shipped_exp_rcpa,broadcast,broadcast,M1,R12_RCPA,lh2,shipped,year,year,1,GWa
R12_WEU,lh2_shipped_exp_chn,broadcast,broadcast,M1,R12_CHN,lh2,shipped,year,year,1,GWa
R12_WEU,lh2_shipped_exp_eeu,broadcast,broadcast,M1,R12_EEU,lh2,shipped,year,year,1,GWa
R12_WEU,lh2_shipped_exp_fsu,broadcast,broadcast,M1,R12_FSU,lh2,shipped,year,year,1,GWa
R12_WEU,lh2_shipped_exp_lam,broadcast,broadcast,M1,R12_LAM,lh2,shipped,year,year,1,GWa
R12_WEU,lh2_shipped_exp_mea,broadcast,broadcast,M1,R12_MEA,lh2,shipped,year,year,1,GWa
R12_WEU,lh2_shipped_exp_nam,broadcast,broadcast,M1,R12_NAM,lh2,shipped,year,year,1,GWa
R12_WEU,lh2_shipped_exp_pao,broadcast,broadcast,M1,R12_PAO,lh2,shipped,year,year,1,GWa
R12_WEU,lh2_shipped_exp_pas,broadcast,broadcast,M1,R12_PAS,lh2,shipped,year,year,1,GWa
R12_WEU,lh2_shipped_exp_sas,broadcast,broadcast,M1,R12_SAS,lh2,shipped,year,year,1,GWa
R12_RCPA,lh2_shipped_imp,broadcast,broadcast,M1,R12_RCPA,lh2,primary,year,year,1,GWa
R12_CHN,lh2_shipped_imp,broadcast,broadcast,M1,R12_CHN,lh2,primary,year,year,1,GWa
R12_EEU,lh2_shipped_imp,broadcast,broadcast,M1,R12_EEU,lh2,primary,year,year,1,GWa
R12_FSU,lh2_shipped_imp,broadcast,broadcast,M1,R12_FSU,lh2,primary,year,year,1,GWa
R12_LAM,lh2_shipped_imp,broadcast,broadcast,M1,R12_LAM,lh2,primary,year,year,1,GWa
R12_MEA,lh2_shipped_imp,broadcast,broadcast,M1,R12_MEA,lh2,primary,year,year,1,GWa
R12_NAM,lh2_shipped_imp,broadcast,broadcast,M1,R12_NAM,lh2,primary,year,year,1,GWa
R12_PAO,lh2_shipped_imp,broadcast,broadcast,M1,R12_PAO,lh2,primary,year,year,1,GWa
R12_PAS,lh2_shipped_imp,broadcast,broadcast,M1,R12_PAS,lh2,primary,year,year,1,GWa
R12_SAS,lh2_shipped_imp,broadcast,broadcast,M1,R12_SAS,lh2,primary,year,year,1,GWa
R12_WEU,lh2_shipped_imp,broadcast,broadcast,M1,R12_WEU,lh2,primary,year,year,1,GWa
R12_AFR,lh2_shipped_imp,broadcast,broadcast,M1,R12_AFR,lh2,primary,year,year,1,GWa
