node_loc,technology,year_vtg,year_act,mode,node_origin,commodity,level,time,time_origin,value,unit
R12_AFR,oil_pipe_mea,broadcast,broadcast,M1,R12_AFR,crudeoil,,year,year,,GWa
R12_AFR,oil_pipe_weu,broadcast,broadcast,M1,R12_AFR,crudeoil,,year,year,,GWa
R12_CHN,oil_pipe_fsu,broadcast,broadcast,M1,R12_CHN,crudeoil,,year,year,,GWa
R12_EEU,oil_pipe_fsu,broadcast,broadcast,M1,R12_EEU,crudeoil,,year,year,,GWa
R12_EEU,oil_pipe_weu,broadcast,broadcast,M1,R12_EEU,crudeoil,,year,year,,GWa
R12_FSU,oil_pipe_rcpa,broadcast,broadcast,M1,R12_FSU,crudeoil,,year,year,,GWa
R12_FSU,oil_pipe_chn,broadcast,broadcast,M1,R12_FSU,crudeoil,,year,year,,GWa
R12_FSU,oil_pipe_eeu,broadcast,broadcast,M1,R12_FSU,crudeoil,,year,year,,GWa
R12_FSU,oil_pipe_mea,broadcast,broadcast,M1,R12_FSU,crudeoil,,year,year,,GWa
R12_FSU,oil_pipe_pao,broadcast,broadcast,M1,R12_FSU,crudeoil,,year,year,,GWa
R12_FSU,oil_pipe_pas,broadcast,broadcast,M1,R12_FSU,crudeoil,,year,year,,GWa
R12_FSU,oil_pipe_sas,broadcast,broadcast,M1,R12_FSU,crudeoil,,year,year,,GWa
R12_FSU,oil_pipe_weu,broadcast,broadcast,M1,R12_FSU,crudeoil,,year,year,,GWa
R12_LAM,oil_pipe_nam,broadcast,broadcast,M1,R12_LAM,crudeoil,,year,year,,GWa
R12_MEA,oil_pipe_afr,broadcast,broadcast,M1,R12_MEA,crudeoil,,year,year,,GWa
R12_MEA,oil_pipe_eeu,broadcast,broadcast,M1,R12_MEA,crudeoil,,year,year,,GWa
R12_MEA,oil_pipe_fsu,broadcast,broadcast,M1,R12_MEA,crudeoil,,year,year,,GWa
R12_MEA,oil_pipe_sas,broadcast,broadcast,M1,R12_MEA,crudeoil,,year,year,,GWa
R12_MEA,oil_pipe_weu,broadcast,broadcast,M1,R12_MEA,crudeoil,,year,year,,GWa
R12_NAM,oil_pipe_lam,broadcast,broadcast,M1,R12_NAM,crudeoil,,year,year,,GWa
R12_PAO,oil_pipe_fsu,broadcast,broadcast,M1,R12_PAO,crudeoil,,year,year,,GWa
R12_PAS,oil_pipe_rcpa,broadcast,broadcast,M1,R12_PAS,crudeoil,,year,year,,GWa
R12_PAS,oil_pipe_chn,broadcast,broadcast,M1,R12_PAS,crudeoil,,year,year,,GWa
R12_PAS,oil_pipe_fsu,broadcast,broadcast,M1,R12_PAS,crudeoil,,year,year,,GWa
R12_PAS,oil_pipe_pao,broadcast,broadcast,M1,R12_PAS,crudeoil,,year,year,,GWa
R12_SAS,oil_pipe_fsu,broadcast,broadcast,M1,R12_SAS,crudeoil,,year,year,,GWa
R12_SAS,oil_pipe_mea,broadcast,broadcast,M1,R12_SAS,crudeoil,,year,year,,GWa
R12_SAS,oil_pipe_pas,broadcast,broadcast,M1,R12_SAS,crudeoil,,year,year,,GWa
R12_WEU,oil_pipe_afr,broadcast,broadcast,M1,R12_WEU,crudeoil,,year,year,,GWa
R12_WEU,oil_pipe_eeu,broadcast,broadcast,M1,R12_WEU,crudeoil,,year,year,,GWa
R12_WEU,oil_pipe_fsu,broadcast,broadcast,M1,R12_WEU,crudeoil,,year,year,,GWa
R12_WEU,oil_pipe_mea,broadcast,broadcast,M1,R12_WEU,crudeoil,,year,year,,GWa
