node_loc,technology,year_vtg,year_act,time
R12_LAM,h2_ct,2045,2070,year
R12_LAM,h2_ct,2050,2050,year
R12_LAM,h2_ct,2050,2055,year
R12_LAM,h2_ct,2050,2060,year
R12_LAM,h2_ct,2050,2070,year
R12_LAM,h2_ct,2055,2055,year
R12_LAM,h2_ct,2055,2060,year
R12_LAM,h2_ct,2055,2070,year
R12_LAM,h2_ct,2055,2080,year
R12_LAM,h2_ct,2060,2060,year
R12_LAM,h2_ct,2060,2070,year
R12_LAM,h2_ct,2060,2080,year
R12_LAM,h2_ct,2070,2070,year
R12_LAM,h2_ct,2070,2080,year
R12_LAM,h2_ct,2070,2090,year
R12_LAM,h2_ct,2080,2080,year
R12_LAM,h2_ct,2080,2090,year
R12_LAM,h2_ct,2080,2100,year
R12_LAM,h2_ct,2090,2090,year
R12_LAM,h2_ct,2090,2100,year
R12_LAM,h2_ct,2090,2110,year
R12_LAM,h2_ct,2100,2100,year
R12_LAM,h2_ct,2100,2110,year
R12_LAM,h2_ct,2110,2110,year
R12_MEA,h2_ct,2030,2030,year
R12_MEA,h2_ct,2030,2035,year
R12_MEA,h2_ct,2030,2040,year
R12_MEA,h2_ct,2030,2045,year
R12_MEA,h2_ct,2030,2050,year
R12_MEA,h2_ct,2035,2035,year
R12_MEA,h2_ct,2035,2040,year
R12_MEA,h2_ct,2035,2045,year
R12_MEA,h2_ct,2035,2050,year
R12_MEA,h2_ct,2035,2055,year
R12_MEA,h2_ct,2040,2040,year
R12_MEA,h2_ct,2040,2045,year
R12_MEA,h2_ct,2040,2050,year
R12_MEA,h2_ct,2040,2055,year
R12_MEA,h2_ct,2040,2060,year
R12_MEA,h2_ct,2045,2045,year
R12_MEA,h2_ct,2045,2050,year
R12_MEA,h2_ct,2045,2055,year
R12_MEA,h2_ct,2045,2060,year
R12_MEA,h2_ct,2045,2070,year
R12_MEA,h2_ct,2050,2050,year
R12_MEA,h2_ct,2050,2055,year
R12_MEA,h2_ct,2050,2060,year
R12_MEA,h2_ct,2050,2070,year
R12_MEA,h2_ct,2055,2055,year
R12_MEA,h2_ct,2055,2060,year
R12_MEA,h2_ct,2055,2070,year
R12_MEA,h2_ct,2055,2080,year
R12_MEA,h2_ct,2060,2060,year
R12_MEA,h2_ct,2060,2070,year
R12_MEA,h2_ct,2060,2080,year
R12_MEA,h2_ct,2070,2070,year
R12_MEA,h2_ct,2070,2080,year
R12_MEA,h2_ct,2070,2090,year
R12_MEA,h2_ct,2080,2080,year
R12_MEA,h2_ct,2080,2090,year
R12_MEA,h2_ct,2080,2100,year
R12_MEA,h2_ct,2090,2090,year
R12_MEA,h2_ct,2090,2100,year
R12_MEA,h2_ct,2090,2110,year
R12_MEA,h2_ct,2100,2100,year
R12_MEA,h2_ct,2100,2110,year
R12_MEA,h2_ct,2110,2110,year
R12_NAM,h2_ct,2030,2030,year
R12_NAM,h2_ct,2030,2035,year
R12_NAM,h2_ct,2030,2040,year
R12_NAM,h2_ct,2030,2045,year
R12_NAM,h2_ct,2030,2050,year
R12_NAM,h2_ct,2035,2035,year
R12_NAM,h2_ct,2035,2040,year
R12_NAM,h2_ct,2035,2045,year
R12_NAM,h2_ct,2035,2050,year
R12_NAM,h2_ct,2035,2055,year
R12_NAM,h2_ct,2040,2040,year
R12_NAM,h2_ct,2040,2045,year
R12_NAM,h2_ct,2040,2050,year
R12_NAM,h2_ct,2040,2055,year
R12_NAM,h2_ct,2040,2060,year
R12_NAM,h2_ct,2045,2045,year
R12_NAM,h2_ct,2045,2050,year
R12_NAM,h2_ct,2045,2055,year
R12_NAM,h2_ct,2045,2060,year
R12_NAM,h2_ct,2045,2070,year
R12_NAM,h2_ct,2050,2050,year
R12_NAM,h2_ct,2050,2055,year
R12_NAM,h2_ct,2050,2060,year
R12_NAM,h2_ct,2050,2070,year
R12_NAM,h2_ct,2055,2055,year
R12_NAM,h2_ct,2055,2060,year
R12_NAM,h2_ct,2055,2070,year
R12_NAM,h2_ct,2055,2080,year
R12_NAM,h2_ct,2060,2060,year
R12_NAM,h2_ct,2060,2070,year
R12_NAM,h2_ct,2060,2080,year
R12_NAM,h2_ct,2070,2070,year
R12_NAM,h2_ct,2070,2080,year
R12_NAM,h2_ct,2070,2090,year
R12_NAM,h2_ct,2080,2080,year
R12_NAM,h2_ct,2080,2090,year
R12_NAM,h2_ct,2080,2100,year
R12_NAM,h2_ct,2090,2090,year
R12_NAM,h2_ct,2090,2100,year
R12_NAM,h2_ct,2090,2110,year
R12_NAM,h2_ct,2100,2100,year
R12_NAM,h2_ct,2100,2110,year
R12_NAM,h2_ct,2110,2110,year
R12_SAS,h2_ct,2030,2030,year
R12_SAS,h2_ct,2030,2035,year
R12_SAS,h2_ct,2030,2040,year
R12_SAS,h2_ct,2030,2045,year
R12_SAS,h2_ct,2030,2050,year
R12_SAS,h2_ct,2035,2035,year
R12_SAS,h2_ct,2035,2040,year
R12_SAS,h2_ct,2035,2045,year
R12_SAS,h2_ct,2035,2050,year
R12_SAS,h2_ct,2035,2055,year
R12_SAS,h2_ct,2040,2040,year
R12_SAS,h2_ct,2040,2045,year
R12_SAS,h2_ct,2040,2050,year
R12_SAS,h2_ct,2040,2055,year
R12_SAS,h2_ct,2040,2060,year
R12_SAS,h2_ct,2045,2045,year
R12_SAS,h2_ct,2045,2050,year
R12_SAS,h2_ct,2045,2055,year
R12_SAS,h2_ct,2045,2060,year
R12_SAS,h2_ct,2045,2070,year
R12_SAS,h2_ct,2050,2050,year
R12_SAS,h2_ct,2050,2055,year
R12_SAS,h2_ct,2050,2060,year
R12_SAS,h2_ct,2050,2070,year
R12_SAS,h2_ct,2055,2055,year
R12_SAS,h2_ct,2055,2060,year
R12_SAS,h2_ct,2055,2070,year
R12_SAS,h2_ct,2055,2080,year
R12_SAS,h2_ct,2060,2060,year
R12_SAS,h2_ct,2060,2070,year
R12_SAS,h2_ct,2060,2080,year
R12_SAS,h2_ct,2070,2070,year
R12_SAS,h2_ct,2070,2080,year
R12_SAS,h2_ct,2070,2090,year
R12_SAS,h2_ct,2080,2080,year
R12_SAS,h2_ct,2080,2090,year
R12_SAS,h2_ct,2080,2100,year
R12_SAS,h2_ct,2090,2090,year
R12_SAS,h2_ct,2090,2100,year
R12_SAS,h2_ct,2090,2110,year
R12_SAS,h2_ct,2100,2100,year
R12_SAS,h2_ct,2100,2110,year
R12_SAS,h2_ct,2110,2110,year
R12_WEU,h2_ct,2030,2030,year
R12_WEU,h2_ct,2030,2035,year
R12_WEU,h2_ct,2030,2040,year
R12_WEU,h2_ct,2030,2045,year
R12_WEU,h2_ct,2030,2050,year
R12_WEU,h2_ct,2035,2035,year
R12_WEU,h2_ct,2035,2040,year
R12_WEU,h2_ct,2035,2045,year
R12_WEU,h2_ct,2035,2050,year
R12_WEU,h2_ct,2035,2055,year
R12_WEU,h2_ct,2040,2040,year
R12_WEU,h2_ct,2040,2045,year
R12_WEU,h2_ct,2040,2050,year
R12_WEU,h2_ct,2040,2055,year
R12_WEU,h2_ct,2040,2060,year
R12_WEU,h2_ct,2045,2045,year
R12_WEU,h2_ct,2045,2050,year
R12_WEU,h2_ct,2045,2055,year
R12_WEU,h2_ct,2045,2060,year
R12_WEU,h2_ct,2045,2070,year
R12_WEU,h2_ct,2050,2050,year
R12_WEU,h2_ct,2050,2055,year
R12_WEU,h2_ct,2050,2060,year
R12_WEU,h2_ct,2050,2070,year
R12_WEU,h2_ct,2055,2055,year
R12_WEU,h2_ct,2055,2060,year
R12_WEU,h2_ct,2055,2070,year
R12_WEU,h2_ct,2055,2080,year
R12_WEU,h2_ct,2060,2060,year
R12_WEU,h2_ct,2060,2070,year
R12_WEU,h2_ct,2060,2080,year
R12_WEU,h2_ct,2070,2070,year
R12_WEU,h2_ct,2070,2080,year
R12_WEU,h2_ct,2070,2090,year
R12_WEU,h2_ct,2080,2080,year
R12_WEU,h2_ct,2080,2090,year
R12_WEU,h2_ct,2080,2100,year
R12_WEU,h2_ct,2090,2090,year
R12_WEU,h2_ct,2090,2100,year
R12_WEU,h2_ct,2090,2110,year
R12_WEU,h2_ct,2100,2100,year
R12_WEU,h2_ct,2100,2110,year
R12_WEU,h2_ct,2110,2110,year
R12_FSU,h2_ct,2030,2030,year
R12_FSU,h2_ct,2030,2035,year
R12_FSU,h2_ct,2030,2040,year
R12_FSU,h2_ct,2030,2045,year
R12_FSU,h2_ct,2030,2050,year
R12_FSU,h2_ct,2035,2035,year
R12_FSU,h2_ct,2035,2040,year
R12_FSU,h2_ct,2035,2045,year
R12_FSU,h2_ct,2035,2050,year
R12_FSU,h2_ct,2035,2055,year
R12_FSU,h2_ct,2040,2040,year
R12_FSU,h2_ct,2040,2045,year
R12_FSU,h2_ct,2040,2050,year
R12_FSU,h2_ct,2040,2055,year
R12_FSU,h2_ct,2040,2060,year
R12_FSU,h2_ct,2045,2045,year
R12_FSU,h2_ct,2045,2050,year
R12_FSU,h2_ct,2045,2055,year
R12_FSU,h2_ct,2045,2060,year
R12_FSU,h2_ct,2045,2070,year
R12_FSU,h2_ct,2050,2050,year
R12_FSU,h2_ct,2050,2055,year
R12_FSU,h2_ct,2050,2060,year
R12_FSU,h2_ct,2050,2070,year
R12_FSU,h2_ct,2055,2055,year
R12_FSU,h2_ct,2055,2060,year
R12_FSU,h2_ct,2055,2070,year
R12_FSU,h2_ct,2055,2080,year
R12_FSU,h2_ct,2060,2060,year
R12_FSU,h2_ct,2060,2070,year
R12_FSU,h2_ct,2060,2080,year
R12_FSU,h2_ct,2070,2070,year
R12_FSU,h2_ct,2070,2080,year
R12_FSU,h2_ct,2070,2090,year
R12_FSU,h2_ct,2080,2080,year
R12_FSU,h2_ct,2080,2090,year
R12_FSU,h2_ct,2080,2100,year
R12_FSU,h2_ct,2090,2090,year
R12_FSU,h2_ct,2090,2100,year
R12_FSU,h2_ct,2090,2110,year
R12_FSU,h2_ct,2100,2100,year
R12_FSU,h2_ct,2100,2110,year
R12_FSU,h2_ct,2110,2110,year
R12_PAO,h2_ct,2030,2030,year
R12_PAO,h2_ct,2030,2035,year
R12_PAO,h2_ct,2030,2040,year
R12_PAO,h2_ct,2030,2045,year
R12_PAO,h2_ct,2030,2050,year
R12_PAO,h2_ct,2035,2035,year
R12_PAO,h2_ct,2035,2040,year
R12_PAO,h2_ct,2035,2045,year
R12_PAO,h2_ct,2035,2050,year
R12_PAO,h2_ct,2035,2055,year
R12_PAO,h2_ct,2040,2040,year
R12_PAO,h2_ct,2040,2045,year
R12_PAO,h2_ct,2040,2050,year
R12_PAO,h2_ct,2040,2055,year
R12_PAO,h2_ct,2040,2060,year
R12_PAO,h2_ct,2045,2045,year
R12_PAO,h2_ct,2045,2050,year
R12_PAO,h2_ct,2045,2055,year
R12_PAO,h2_ct,2045,2060,year
R12_PAO,h2_ct,2045,2070,year
R12_PAO,h2_ct,2050,2050,year
R12_PAO,h2_ct,2050,2055,year
R12_PAO,h2_ct,2050,2060,year
R12_PAO,h2_ct,2050,2070,year
R12_PAO,h2_ct,2055,2055,year
R12_PAO,h2_ct,2055,2060,year
R12_PAO,h2_ct,2055,2070,year
R12_PAO,h2_ct,2055,2080,year
R12_PAO,h2_ct,2060,2060,year
R12_PAO,h2_ct,2060,2070,year
R12_PAO,h2_ct,2060,2080,year
R12_PAO,h2_ct,2070,2070,year
R12_PAO,h2_ct,2070,2080,year
R12_PAO,h2_ct,2070,2090,year
R12_PAO,h2_ct,2080,2080,year
R12_PAO,h2_ct,2080,2090,year
R12_PAO,h2_ct,2080,2100,year
R12_PAO,h2_ct,2090,2090,year
R12_PAO,h2_ct,2090,2100,year
R12_PAO,h2_ct,2090,2110,year
R12_PAO,h2_ct,2100,2100,year
R12_PAO,h2_ct,2100,2110,year
R12_PAO,h2_ct,2110,2110,year
R12_PAS,h2_ct,2030,2030,year
R12_PAS,h2_ct,2030,2035,year
R12_PAS,h2_ct,2030,2040,year
R12_PAS,h2_ct,2030,2045,year
R12_PAS,h2_ct,2030,2050,year
R12_PAS,h2_ct,2035,2035,year
R12_PAS,h2_ct,2035,2040,year
R12_PAS,h2_ct,2035,2045,year
R12_PAS,h2_ct,2035,2050,year
R12_PAS,h2_ct,2035,2055,year
R12_PAS,h2_ct,2040,2040,year
R12_PAS,h2_ct,2040,2045,year
R12_PAS,h2_ct,2040,2050,year
R12_PAS,h2_ct,2040,2055,year
R12_PAS,h2_ct,2040,2060,year
R12_PAS,h2_ct,2045,2045,year
R12_PAS,h2_ct,2045,2050,year
R12_PAS,h2_ct,2045,2055,year
R12_PAS,h2_ct,2045,2060,year
R12_PAS,h2_ct,2045,2070,year
R12_PAS,h2_ct,2050,2050,year
R12_PAS,h2_ct,2050,2055,year
R12_PAS,h2_ct,2050,2060,year
R12_PAS,h2_ct,2050,2070,year
R12_PAS,h2_ct,2055,2055,year
R12_PAS,h2_ct,2055,2060,year
R12_PAS,h2_ct,2055,2070,year
R12_PAS,h2_ct,2055,2080,year
R12_PAS,h2_ct,2060,2060,year
R12_PAS,h2_ct,2060,2070,year
R12_PAS,h2_ct,2060,2080,year
R12_PAS,h2_ct,2070,2070,year
R12_PAS,h2_ct,2070,2080,year
R12_PAS,h2_ct,2070,2090,year
R12_PAS,h2_ct,2080,2080,year
R12_PAS,h2_ct,2080,2090,year
R12_PAS,h2_ct,2080,2100,year
R12_PAS,h2_ct,2090,2090,year
R12_PAS,h2_ct,2090,2100,year
R12_PAS,h2_ct,2090,2110,year
R12_PAS,h2_ct,2100,2100,year
R12_PAS,h2_ct,2100,2110,year
R12_PAS,h2_ct,2110,2110,year
R12_CHN,h2_ct,2030,2030,year
R12_CHN,h2_ct,2030,2035,year
R12_CHN,h2_ct,2030,2040,year
R12_CHN,h2_ct,2030,2045,year
R12_CHN,h2_ct,2030,2050,year
R12_CHN,h2_ct,2035,2035,year
R12_CHN,h2_ct,2035,2040,year
R12_CHN,h2_ct,2035,2045,year
R12_CHN,h2_ct,2035,2050,year
R12_CHN,h2_ct,2035,2055,year
R12_CHN,h2_ct,2040,2040,year
R12_CHN,h2_ct,2040,2045,year
R12_CHN,h2_ct,2040,2050,year
R12_CHN,h2_ct,2040,2055,year
R12_CHN,h2_ct,2040,2060,year
R12_CHN,h2_ct,2045,2045,year
R12_CHN,h2_ct,2045,2050,year
R12_CHN,h2_ct,2045,2055,year
R12_CHN,h2_ct,2045,2060,year
R12_CHN,h2_ct,2045,2070,year
R12_CHN,h2_ct,2050,2050,year
R12_CHN,h2_ct,2050,2055,year
R12_CHN,h2_ct,2050,2060,year
R12_CHN,h2_ct,2050,2070,year
R12_CHN,h2_ct,2055,2055,year
R12_CHN,h2_ct,2055,2060,year
R12_CHN,h2_ct,2055,2070,year
R12_CHN,h2_ct,2055,2080,year
R12_CHN,h2_ct,2060,2060,year
R12_CHN,h2_ct,2060,2070,year
R12_CHN,h2_ct,2060,2080,year
R12_CHN,h2_ct,2070,2070,year
R12_CHN,h2_ct,2070,2080,year
R12_CHN,h2_ct,2070,2090,year
R12_CHN,h2_ct,2080,2080,year
R12_CHN,h2_ct,2080,2090,year
R12_CHN,h2_ct,2080,2100,year
R12_CHN,h2_ct,2090,2090,year
R12_CHN,h2_ct,2090,2100,year
R12_CHN,h2_ct,2090,2110,year
R12_CHN,h2_ct,2100,2100,year
R12_CHN,h2_ct,2100,2110,year
R12_CHN,h2_ct,2110,2110,year
R12_RCPA,h2_ct,2030,2030,year
R12_RCPA,h2_ct,2030,2035,year
R12_RCPA,h2_ct,2030,2040,year
R12_RCPA,h2_ct,2030,2045,year
R12_RCPA,h2_ct,2030,2050,year
R12_RCPA,h2_ct,2035,2035,year
R12_RCPA,h2_ct,2035,2040,year
R12_RCPA,h2_ct,2035,2045,year
R12_RCPA,h2_ct,2035,2050,year
R12_RCPA,h2_ct,2035,2055,year
R12_RCPA,h2_ct,2040,2040,year
R12_RCPA,h2_ct,2040,2045,year
R12_RCPA,h2_ct,2040,2050,year
R12_RCPA,h2_ct,2040,2055,year
R12_RCPA,h2_ct,2040,2060,year
R12_RCPA,h2_ct,2045,2045,year
R12_RCPA,h2_ct,2045,2050,year
R12_RCPA,h2_ct,2045,2055,year
R12_RCPA,h2_ct,2045,2060,year
R12_RCPA,h2_ct,2045,2070,year
R12_RCPA,h2_ct,2050,2050,year
R12_RCPA,h2_ct,2050,2055,year
R12_RCPA,h2_ct,2050,2060,year
R12_RCPA,h2_ct,2050,2070,year
R12_RCPA,h2_ct,2055,2055,year
R12_RCPA,h2_ct,2055,2060,year
R12_RCPA,h2_ct,2055,2070,year
R12_RCPA,h2_ct,2055,2080,year
R12_RCPA,h2_ct,2060,2060,year
R12_RCPA,h2_ct,2060,2070,year
R12_RCPA,h2_ct,2060,2080,year
R12_RCPA,h2_ct,2070,2070,year
R12_RCPA,h2_ct,2070,2080,year
R12_RCPA,h2_ct,2070,2090,year
R12_RCPA,h2_ct,2080,2080,year
R12_RCPA,h2_ct,2080,2090,year
R12_RCPA,h2_ct,2080,2100,year
R12_RCPA,h2_ct,2090,2090,year
R12_RCPA,h2_ct,2090,2100,year
R12_RCPA,h2_ct,2090,2110,year
R12_RCPA,h2_ct,2100,2100,year
R12_RCPA,h2_ct,2100,2110,year
R12_RCPA,h2_ct,2110,2110,year
