node_loc,technology,year_vtg,year_act,time,value,unit
R12_FSU,h2_elec_soe,2035,2050,year,0.95,%
R12_FSU,h2_elec_soe,2035,2055,year,0.95,%
R12_FSU,h2_elec_soe,2035,2060,year,0.95,%
R12_FSU,h2_elec_soe,2040,2040,year,0.95,%
R12_FSU,h2_elec_soe,2040,2045,year,0.95,%
R12_FSU,h2_elec_soe,2040,2050,year,0.95,%
R12_FSU,h2_elec_soe,2040,2055,year,0.95,%
R12_FSU,h2_elec_soe,2040,2060,year,0.95,%
R12_FSU,h2_elec_soe,2040,2070,year,0.95,%
R12_FSU,h2_elec_soe,2045,2045,year,0.95,%
R12_FSU,h2_elec_soe,2045,2050,year,0.95,%
R12_FSU,h2_elec_soe,2045,2055,year,0.95,%
R12_FSU,h2_elec_soe,2045,2060,year,0.95,%
R12_FSU,h2_elec_soe,2045,2070,year,0.95,%
R12_FSU,h2_elec_soe,2050,2050,year,0.95,%
R12_FSU,h2_elec_soe,2050,2055,year,0.95,%
R12_FSU,h2_elec_soe,2050,2060,year,0.95,%
R12_FSU,h2_elec_soe,2050,2070,year,0.95,%
R12_FSU,h2_elec_soe,2050,2080,year,0.95,%
R12_FSU,h2_elec_soe,2055,2055,year,0.95,%
R12_FSU,h2_elec_soe,2055,2060,year,0.95,%
R12_FSU,h2_elec_soe,2055,2070,year,0.95,%
R12_FSU,h2_elec_soe,2055,2080,year,0.95,%
R12_FSU,h2_elec_soe,2060,2060,year,0.95,%
R12_FSU,h2_elec_soe,2060,2070,year,0.95,%
R12_FSU,h2_elec_soe,2060,2080,year,0.95,%
R12_FSU,h2_elec_soe,2060,2090,year,0.95,%
R12_FSU,h2_elec_soe,2070,2070,year,0.95,%
R12_FSU,h2_elec_soe,2070,2080,year,0.95,%
R12_FSU,h2_elec_soe,2070,2090,year,0.95,%
R12_FSU,h2_elec_soe,2080,2080,year,0.95,%
R12_FSU,h2_elec_soe,2080,2090,year,0.95,%
R12_FSU,h2_elec_soe,2080,2100,year,0.95,%
R12_FSU,h2_elec_soe,2090,2090,year,0.95,%
R12_FSU,h2_elec_soe,2090,2100,year,0.95,%
R12_FSU,h2_elec_soe,2090,2110,year,0.95,%
R12_FSU,h2_elec_soe,2100,2100,year,0.95,%
R12_FSU,h2_elec_soe,2100,2110,year,0.95,%
R12_FSU,h2_elec_soe,2110,2110,year,0.95,%
R12_LAM,h2_elec_soe,2030,2030,year,0.95,%
R12_LAM,h2_elec_soe,2030,2035,year,0.95,%
R12_LAM,h2_elec_soe,2030,2040,year,0.95,%
R12_LAM,h2_elec_soe,2030,2045,year,0.95,%
R12_LAM,h2_elec_soe,2030,2050,year,0.95,%
R12_LAM,h2_elec_soe,2030,2055,year,0.95,%
R12_LAM,h2_elec_soe,2035,2035,year,0.95,%
R12_LAM,h2_elec_soe,2035,2040,year,0.95,%
R12_LAM,h2_elec_soe,2035,2045,year,0.95,%
R12_LAM,h2_elec_soe,2035,2050,year,0.95,%
R12_LAM,h2_elec_soe,2035,2055,year,0.95,%
R12_LAM,h2_elec_soe,2035,2060,year,0.95,%
R12_LAM,h2_elec_soe,2040,2040,year,0.95,%
R12_LAM,h2_elec_soe,2040,2045,year,0.95,%
R12_LAM,h2_elec_soe,2040,2050,year,0.95,%
R12_LAM,h2_elec_soe,2040,2055,year,0.95,%
R12_LAM,h2_elec_soe,2040,2060,year,0.95,%
R12_LAM,h2_elec_soe,2040,2070,year,0.95,%
R12_LAM,h2_elec_soe,2045,2045,year,0.95,%
R12_LAM,h2_elec_soe,2045,2050,year,0.95,%
R12_LAM,h2_elec_soe,2045,2055,year,0.95,%
R12_LAM,h2_elec_soe,2045,2060,year,0.95,%
R12_LAM,h2_elec_soe,2045,2070,year,0.95,%
R12_LAM,h2_elec_soe,2050,2050,year,0.95,%
R12_LAM,h2_elec_soe,2050,2055,year,0.95,%
R12_LAM,h2_elec_soe,2050,2060,year,0.95,%
R12_LAM,h2_elec_soe,2050,2070,year,0.95,%
R12_LAM,h2_elec_soe,2050,2080,year,0.95,%
R12_LAM,h2_elec_soe,2055,2055,year,0.95,%
R12_LAM,h2_elec_soe,2055,2060,year,0.95,%
R12_LAM,h2_elec_soe,2055,2070,year,0.95,%
R12_LAM,h2_elec_soe,2055,2080,year,0.95,%
R12_LAM,h2_elec_soe,2060,2060,year,0.95,%
R12_LAM,h2_elec_soe,2060,2070,year,0.95,%
R12_LAM,h2_elec_soe,2060,2080,year,0.95,%
R12_LAM,h2_elec_soe,2060,2090,year,0.95,%
R12_LAM,h2_elec_soe,2070,2070,year,0.95,%
R12_LAM,h2_elec_soe,2070,2080,year,0.95,%
R12_LAM,h2_elec_soe,2070,2090,year,0.95,%
R12_LAM,h2_elec_soe,2080,2080,year,0.95,%
R12_LAM,h2_elec_soe,2080,2090,year,0.95,%
R12_LAM,h2_elec_soe,2080,2100,year,0.95,%
R12_LAM,h2_elec_soe,2090,2090,year,0.95,%
R12_LAM,h2_elec_soe,2090,2100,year,0.95,%
R12_LAM,h2_elec_soe,2090,2110,year,0.95,%
R12_LAM,h2_elec_soe,2100,2100,year,0.95,%
R12_LAM,h2_elec_soe,2100,2110,year,0.95,%
R12_LAM,h2_elec_soe,2110,2110,year,0.95,%
R12_MEA,h2_elec_soe,2030,2030,year,0.95,%
R12_MEA,h2_elec_soe,2030,2035,year,0.95,%
R12_MEA,h2_elec_soe,2030,2040,year,0.95,%
R12_MEA,h2_elec_soe,2030,2045,year,0.95,%
R12_MEA,h2_elec_soe,2030,2050,year,0.95,%
R12_MEA,h2_elec_soe,2030,2055,year,0.95,%
R12_MEA,h2_elec_soe,2035,2035,year,0.95,%
R12_MEA,h2_elec_soe,2035,2040,year,0.95,%
R12_MEA,h2_elec_soe,2035,2045,year,0.95,%
R12_MEA,h2_elec_soe,2035,2050,year,0.95,%
R12_MEA,h2_elec_soe,2035,2055,year,0.95,%
R12_MEA,h2_elec_soe,2035,2060,year,0.95,%
R12_MEA,h2_elec_soe,2040,2040,year,0.95,%
R12_MEA,h2_elec_soe,2040,2045,year,0.95,%
R12_MEA,h2_elec_soe,2040,2050,year,0.95,%
R12_MEA,h2_elec_soe,2040,2055,year,0.95,%
R12_MEA,h2_elec_soe,2040,2060,year,0.95,%
R12_MEA,h2_elec_soe,2040,2070,year,0.95,%
R12_MEA,h2_elec_soe,2045,2045,year,0.95,%
R12_MEA,h2_elec_soe,2045,2050,year,0.95,%
R12_MEA,h2_elec_soe,2045,2055,year,0.95,%
R12_MEA,h2_elec_soe,2045,2060,year,0.95,%
R12_MEA,h2_elec_soe,2045,2070,year,0.95,%
R12_MEA,h2_elec_soe,2050,2050,year,0.95,%
R12_MEA,h2_elec_soe,2050,2055,year,0.95,%
R12_MEA,h2_elec_soe,2050,2060,year,0.95,%
R12_MEA,h2_elec_soe,2050,2070,year,0.95,%
R12_MEA,h2_elec_soe,2050,2080,year,0.95,%
R12_MEA,h2_elec_soe,2055,2055,year,0.95,%
R12_MEA,h2_elec_soe,2055,2060,year,0.95,%
R12_MEA,h2_elec_soe,2055,2070,year,0.95,%
R12_MEA,h2_elec_soe,2055,2080,year,0.95,%
R12_MEA,h2_elec_soe,2060,2060,year,0.95,%
R12_MEA,h2_elec_soe,2060,2070,year,0.95,%
R12_MEA,h2_elec_soe,2060,2080,year,0.95,%
R12_MEA,h2_elec_soe,2060,2090,year,0.95,%
R12_MEA,h2_elec_soe,2070,2070,year,0.95,%
R12_MEA,h2_elec_soe,2070,2080,year,0.95,%
R12_MEA,h2_elec_soe,2070,2090,year,0.95,%
R12_MEA,h2_elec_soe,2080,2080,year,0.95,%
R12_MEA,h2_elec_soe,2080,2090,year,0.95,%
R12_MEA,h2_elec_soe,2080,2100,year,0.95,%
R12_MEA,h2_elec_soe,2090,2090,year,0.95,%
R12_MEA,h2_elec_soe,2090,2100,year,0.95,%
R12_MEA,h2_elec_soe,2090,2110,year,0.95,%
R12_MEA,h2_elec_soe,2100,2100,year,0.95,%
R12_MEA,h2_elec_soe,2100,2110,year,0.95,%
R12_MEA,h2_elec_soe,2110,2110,year,0.95,%
R12_NAM,h2_elec_soe,2030,2030,year,0.95,%
R12_NAM,h2_elec_soe,2030,2035,year,0.95,%
R12_NAM,h2_elec_soe,2030,2040,year,0.95,%
R12_NAM,h2_elec_soe,2030,2045,year,0.95,%
R12_NAM,h2_elec_soe,2030,2050,year,0.95,%
R12_NAM,h2_elec_soe,2030,2055,year,0.95,%
R12_NAM,h2_elec_soe,2035,2035,year,0.95,%
R12_NAM,h2_elec_soe,2035,2040,year,0.95,%
R12_NAM,h2_elec_soe,2035,2045,year,0.95,%
R12_NAM,h2_elec_soe,2035,2050,year,0.95,%
R12_NAM,h2_elec_soe,2035,2055,year,0.95,%
R12_NAM,h2_elec_soe,2035,2060,year,0.95,%
R12_NAM,h2_elec_soe,2040,2040,year,0.95,%
R12_NAM,h2_elec_soe,2040,2045,year,0.95,%
R12_NAM,h2_elec_soe,2040,2050,year,0.95,%
R12_NAM,h2_elec_soe,2040,2055,year,0.95,%
R12_NAM,h2_elec_soe,2040,2060,year,0.95,%
R12_NAM,h2_elec_soe,2040,2070,year,0.95,%
R12_NAM,h2_elec_soe,2045,2045,year,0.95,%
R12_NAM,h2_elec_soe,2045,2050,year,0.95,%
R12_NAM,h2_elec_soe,2045,2055,year,0.95,%
R12_NAM,h2_elec_soe,2045,2060,year,0.95,%
R12_NAM,h2_elec_soe,2045,2070,year,0.95,%
R12_NAM,h2_elec_soe,2050,2050,year,0.95,%
R12_NAM,h2_elec_soe,2050,2055,year,0.95,%
R12_NAM,h2_elec_soe,2050,2060,year,0.95,%
R12_NAM,h2_elec_soe,2050,2070,year,0.95,%
R12_NAM,h2_elec_soe,2050,2080,year,0.95,%
R12_NAM,h2_elec_soe,2055,2055,year,0.95,%
R12_NAM,h2_elec_soe,2055,2060,year,0.95,%
R12_NAM,h2_elec_soe,2055,2070,year,0.95,%
R12_NAM,h2_elec_soe,2055,2080,year,0.95,%
R12_NAM,h2_elec_soe,2060,2060,year,0.95,%
R12_NAM,h2_elec_soe,2060,2070,year,0.95,%
R12_NAM,h2_elec_soe,2060,2080,year,0.95,%
R12_NAM,h2_elec_soe,2060,2090,year,0.95,%
R12_NAM,h2_elec_soe,2070,2070,year,0.95,%
R12_NAM,h2_elec_soe,2070,2080,year,0.95,%
R12_NAM,h2_elec_soe,2070,2090,year,0.95,%
R12_NAM,h2_elec_soe,2080,2080,year,0.95,%
R12_NAM,h2_elec_soe,2080,2090,year,0.95,%
R12_NAM,h2_elec_soe,2080,2100,year,0.95,%
R12_NAM,h2_elec_soe,2090,2090,year,0.95,%
R12_NAM,h2_elec_soe,2090,2100,year,0.95,%
R12_NAM,h2_elec_soe,2090,2110,year,0.95,%
R12_NAM,h2_elec_soe,2100,2100,year,0.95,%
R12_NAM,h2_elec_soe,2100,2110,year,0.95,%
R12_NAM,h2_elec_soe,2110,2110,year,0.95,%
R12_PAO,h2_elec_soe,2030,2030,year,0.95,%
R12_PAO,h2_elec_soe,2030,2035,year,0.95,%
R12_PAO,h2_elec_soe,2030,2040,year,0.95,%
R12_PAO,h2_elec_soe,2030,2045,year,0.95,%
R12_PAO,h2_elec_soe,2030,2050,year,0.95,%
R12_PAO,h2_elec_soe,2030,2055,year,0.95,%
R12_PAO,h2_elec_soe,2035,2035,year,0.95,%
R12_PAO,h2_elec_soe,2035,2040,year,0.95,%
R12_PAO,h2_elec_soe,2035,2045,year,0.95,%
R12_PAO,h2_elec_soe,2035,2050,year,0.95,%
R12_PAO,h2_elec_soe,2035,2055,year,0.95,%
R12_PAO,h2_elec_soe,2035,2060,year,0.95,%
R12_PAO,h2_elec_soe,2040,2040,year,0.95,%
R12_PAO,h2_elec_soe,2040,2045,year,0.95,%
R12_PAO,h2_elec_soe,2040,2050,year,0.95,%
R12_PAO,h2_elec_soe,2040,2055,year,0.95,%
R12_PAO,h2_elec_soe,2040,2060,year,0.95,%
R12_PAO,h2_elec_soe,2040,2070,year,0.95,%
R12_PAO,h2_elec_soe,2045,2045,year,0.95,%
R12_PAO,h2_elec_soe,2045,2050,year,0.95,%
R12_PAO,h2_elec_soe,2045,2055,year,0.95,%
R12_PAO,h2_elec_soe,2045,2060,year,0.95,%
R12_PAO,h2_elec_soe,2045,2070,year,0.95,%
R12_PAO,h2_elec_soe,2050,2050,year,0.95,%
R12_PAO,h2_elec_soe,2050,2055,year,0.95,%
R12_PAO,h2_elec_soe,2050,2060,year,0.95,%
R12_PAO,h2_elec_soe,2050,2070,year,0.95,%
R12_PAO,h2_elec_soe,2050,2080,year,0.95,%
R12_PAO,h2_elec_soe,2055,2055,year,0.95,%
R12_PAO,h2_elec_soe,2055,2060,year,0.95,%
R12_PAO,h2_elec_soe,2055,2070,year,0.95,%
R12_PAO,h2_elec_soe,2055,2080,year,0.95,%
R12_PAO,h2_elec_soe,2060,2060,year,0.95,%
R12_PAO,h2_elec_soe,2060,2070,year,0.95,%
R12_PAO,h2_elec_soe,2060,2080,year,0.95,%
R12_PAO,h2_elec_soe,2060,2090,year,0.95,%
R12_PAO,h2_elec_soe,2070,2070,year,0.95,%
R12_PAO,h2_elec_soe,2070,2080,year,0.95,%
R12_PAO,h2_elec_soe,2070,2090,year,0.95,%
R12_PAO,h2_elec_soe,2080,2080,year,0.95,%
R12_PAO,h2_elec_soe,2080,2090,year,0.95,%
R12_PAO,h2_elec_soe,2080,2100,year,0.95,%
R12_PAO,h2_elec_soe,2090,2090,year,0.95,%
R12_PAO,h2_elec_soe,2090,2100,year,0.95,%
R12_PAO,h2_elec_soe,2090,2110,year,0.95,%
R12_PAO,h2_elec_soe,2100,2100,year,0.95,%
R12_PAO,h2_elec_soe,2100,2110,year,0.95,%
R12_PAO,h2_elec_soe,2110,2110,year,0.95,%
R12_PAS,h2_elec_soe,2030,2030,year,0.95,%
R12_PAS,h2_elec_soe,2030,2035,year,0.95,%
R12_PAS,h2_elec_soe,2030,2040,year,0.95,%
R12_PAS,h2_elec_soe,2030,2045,year,0.95,%
R12_PAS,h2_elec_soe,2030,2050,year,0.95,%
R12_PAS,h2_elec_soe,2030,2055,year,0.95,%
R12_PAS,h2_elec_soe,2035,2035,year,0.95,%
R12_PAS,h2_elec_soe,2035,2040,year,0.95,%
R12_PAS,h2_elec_soe,2035,2045,year,0.95,%
R12_PAS,h2_elec_soe,2035,2050,year,0.95,%
R12_PAS,h2_elec_soe,2035,2055,year,0.95,%
R12_PAS,h2_elec_soe,2035,2060,year,0.95,%
R12_PAS,h2_elec_soe,2040,2040,year,0.95,%
R12_PAS,h2_elec_soe,2040,2045,year,0.95,%
R12_PAS,h2_elec_soe,2040,2050,year,0.95,%
R12_PAS,h2_elec_soe,2040,2055,year,0.95,%
R12_PAS,h2_elec_soe,2040,2060,year,0.95,%
R12_PAS,h2_elec_soe,2040,2070,year,0.95,%
R12_PAS,h2_elec_soe,2045,2045,year,0.95,%
R12_PAS,h2_elec_soe,2045,2050,year,0.95,%
R12_PAS,h2_elec_soe,2045,2055,year,0.95,%
R12_PAS,h2_elec_soe,2045,2060,year,0.95,%
R12_PAS,h2_elec_soe,2045,2070,year,0.95,%
R12_PAS,h2_elec_soe,2050,2050,year,0.95,%
R12_PAS,h2_elec_soe,2050,2055,year,0.95,%
R12_PAS,h2_elec_soe,2050,2060,year,0.95,%
R12_PAS,h2_elec_soe,2050,2070,year,0.95,%
R12_PAS,h2_elec_soe,2050,2080,year,0.95,%
R12_PAS,h2_elec_soe,2055,2055,year,0.95,%
R12_PAS,h2_elec_soe,2055,2060,year,0.95,%
R12_PAS,h2_elec_soe,2055,2070,year,0.95,%
R12_PAS,h2_elec_soe,2055,2080,year,0.95,%
R12_PAS,h2_elec_soe,2060,2060,year,0.95,%
R12_PAS,h2_elec_soe,2060,2070,year,0.95,%
R12_PAS,h2_elec_soe,2060,2080,year,0.95,%
R12_PAS,h2_elec_soe,2060,2090,year,0.95,%
R12_PAS,h2_elec_soe,2070,2070,year,0.95,%
R12_PAS,h2_elec_soe,2070,2080,year,0.95,%
R12_PAS,h2_elec_soe,2070,2090,year,0.95,%
R12_PAS,h2_elec_soe,2080,2080,year,0.95,%
R12_PAS,h2_elec_soe,2080,2090,year,0.95,%
R12_PAS,h2_elec_soe,2080,2100,year,0.95,%
R12_PAS,h2_elec_soe,2090,2090,year,0.95,%
R12_PAS,h2_elec_soe,2090,2100,year,0.95,%
R12_PAS,h2_elec_soe,2090,2110,year,0.95,%
R12_PAS,h2_elec_soe,2100,2100,year,0.95,%
R12_PAS,h2_elec_soe,2100,2110,year,0.95,%
R12_PAS,h2_elec_soe,2110,2110,year,0.95,%
R12_SAS,h2_elec_soe,2030,2030,year,0.95,%
R12_SAS,h2_elec_soe,2030,2035,year,0.95,%
R12_SAS,h2_elec_soe,2030,2040,year,0.95,%
R12_SAS,h2_elec_soe,2030,2045,year,0.95,%
R12_SAS,h2_elec_soe,2030,2050,year,0.95,%
R12_SAS,h2_elec_soe,2030,2055,year,0.95,%
R12_SAS,h2_elec_soe,2035,2035,year,0.95,%
R12_SAS,h2_elec_soe,2035,2040,year,0.95,%
R12_SAS,h2_elec_soe,2035,2045,year,0.95,%
R12_SAS,h2_elec_soe,2035,2050,year,0.95,%
R12_SAS,h2_elec_soe,2035,2055,year,0.95,%
R12_SAS,h2_elec_soe,2035,2060,year,0.95,%
R12_SAS,h2_elec_soe,2040,2040,year,0.95,%
R12_SAS,h2_elec_soe,2040,2045,year,0.95,%
R12_SAS,h2_elec_soe,2040,2050,year,0.95,%
R12_SAS,h2_elec_soe,2040,2055,year,0.95,%
R12_SAS,h2_elec_soe,2040,2060,year,0.95,%
R12_SAS,h2_elec_soe,2040,2070,year,0.95,%
R12_SAS,h2_elec_soe,2045,2045,year,0.95,%
R12_SAS,h2_elec_soe,2045,2050,year,0.95,%
R12_SAS,h2_elec_soe,2045,2055,year,0.95,%
R12_SAS,h2_elec_soe,2045,2060,year,0.95,%
R12_SAS,h2_elec_soe,2045,2070,year,0.95,%
R12_SAS,h2_elec_soe,2050,2050,year,0.95,%
R12_SAS,h2_elec_soe,2050,2055,year,0.95,%
R12_SAS,h2_elec_soe,2050,2060,year,0.95,%
R12_SAS,h2_elec_soe,2050,2070,year,0.95,%
R12_SAS,h2_elec_soe,2050,2080,year,0.95,%
R12_SAS,h2_elec_soe,2055,2055,year,0.95,%
R12_SAS,h2_elec_soe,2055,2060,year,0.95,%
R12_SAS,h2_elec_soe,2055,2070,year,0.95,%
R12_SAS,h2_elec_soe,2055,2080,year,0.95,%
R12_SAS,h2_elec_soe,2060,2060,year,0.95,%
R12_SAS,h2_elec_soe,2060,2070,year,0.95,%
R12_SAS,h2_elec_soe,2060,2080,year,0.95,%
R12_SAS,h2_elec_soe,2060,2090,year,0.95,%
R12_SAS,h2_elec_soe,2070,2070,year,0.95,%
R12_SAS,h2_elec_soe,2070,2080,year,0.95,%
R12_SAS,h2_elec_soe,2070,2090,year,0.95,%
R12_SAS,h2_elec_soe,2080,2080,year,0.95,%
R12_SAS,h2_elec_soe,2080,2090,year,0.95,%
R12_SAS,h2_elec_soe,2080,2100,year,0.95,%
R12_SAS,h2_elec_soe,2090,2090,year,0.95,%
R12_SAS,h2_elec_soe,2090,2100,year,0.95,%
R12_SAS,h2_elec_soe,2090,2110,year,0.95,%
R12_SAS,h2_elec_soe,2100,2100,year,0.95,%
R12_SAS,h2_elec_soe,2100,2110,year,0.95,%
R12_SAS,h2_elec_soe,2110,2110,year,0.95,%
R12_WEU,h2_elec_soe,2030,2030,year,0.95,%
R12_WEU,h2_elec_soe,2030,2035,year,0.95,%
R12_WEU,h2_elec_soe,2030,2040,year,0.95,%
R12_WEU,h2_elec_soe,2030,2045,year,0.95,%
R12_WEU,h2_elec_soe,2030,2050,year,0.95,%
R12_WEU,h2_elec_soe,2030,2055,year,0.95,%
R12_WEU,h2_elec_soe,2035,2035,year,0.95,%
R12_WEU,h2_elec_soe,2035,2040,year,0.95,%
R12_WEU,h2_elec_soe,2035,2045,year,0.95,%
R12_WEU,h2_elec_soe,2035,2050,year,0.95,%
R12_WEU,h2_elec_soe,2035,2055,year,0.95,%
R12_WEU,h2_elec_soe,2035,2060,year,0.95,%
R12_WEU,h2_elec_soe,2040,2040,year,0.95,%
R12_WEU,h2_elec_soe,2040,2045,year,0.95,%
R12_WEU,h2_elec_soe,2040,2050,year,0.95,%
R12_WEU,h2_elec_soe,2040,2055,year,0.95,%
R12_WEU,h2_elec_soe,2040,2060,year,0.95,%
R12_WEU,h2_elec_soe,2040,2070,year,0.95,%
R12_WEU,h2_elec_soe,2045,2045,year,0.95,%
