node,technology,year_vtg,year_act,mode,time,type_addon,value,unit
R12_RCPA,h2_elec_soe,2035,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2035,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2035,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2035,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2035,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2035,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2035,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2035,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2035,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2035,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2035,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2040,2040,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2040,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2040,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2040,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2040,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2040,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2045,2045,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2045,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2045,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2045,2060,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2045,2070,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAS,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_SAS,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_WEU,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_CHN,h2_elec_soe,2050,2050,feedstock,year,methanol_synthesis_addon,0.897,-
R12_AFR,h2_elec_soe,2050,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_RCPA,h2_elec_soe,2050,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_EEU,h2_elec_soe,2050,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_FSU,h2_elec_soe,2050,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_LAM,h2_elec_soe,2050,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_MEA,h2_elec_soe,2050,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_NAM,h2_elec_soe,2050,2055,feedstock,year,methanol_synthesis_addon,0.897,-
R12_PAO,h2_elec_soe,2050,2055,feedstock,year,methanol_synthesis_addon,0.897,-
