node_loc,technology,year_act,time,value,unit
R12_LAM,h2_NH3,2045,year,0.1,-
R12_LAM,h2_NH3,2050,year,0.1,-
R12_LAM,h2_NH3,2055,year,0.1,-
R12_LAM,h2_NH3,2060,year,0.1,-
R12_LAM,h2_NH3,2070,year,0.1,-
R12_LAM,h2_NH3,2080,year,0.1,-
R12_LAM,h2_NH3,2090,year,0.1,-
R12_LAM,h2_NH3,2100,year,0.1,-
R12_LAM,h2_NH3,2110,year,0.1,-
R12_MEA,h2_NH3,2030,year,0.1,-
R12_MEA,h2_NH3,2035,year,0.1,-
R12_MEA,h2_NH3,2040,year,0.1,-
R12_MEA,h2_NH3,2045,year,0.1,-
R12_MEA,h2_NH3,2050,year,0.1,-
R12_MEA,h2_NH3,2055,year,0.1,-
R12_MEA,h2_NH3,2060,year,0.1,-
R12_MEA,h2_NH3,2070,year,0.1,-
R12_MEA,h2_NH3,2080,year,0.1,-
R12_MEA,h2_NH3,2090,year,0.1,-
R12_MEA,h2_NH3,2100,year,0.1,-
R12_MEA,h2_NH3,2110,year,0.1,-
R12_NAM,h2_NH3,2030,year,0.1,-
R12_NAM,h2_NH3,2035,year,0.1,-
R12_NAM,h2_NH3,2040,year,0.1,-
R12_NAM,h2_NH3,2045,year,0.1,-
R12_NAM,h2_NH3,2050,year,0.1,-
R12_NAM,h2_NH3,2055,year,0.1,-
R12_NAM,h2_NH3,2060,year,0.1,-
R12_NAM,h2_NH3,2070,year,0.1,-
R12_NAM,h2_NH3,2080,year,0.1,-
R12_NAM,h2_NH3,2090,year,0.1,-
R12_NAM,h2_NH3,2100,year,0.1,-
R12_NAM,h2_NH3,2110,year,0.1,-
R12_PAO,h2_NH3,2030,year,0.1,-
R12_PAO,h2_NH3,2035,year,0.1,-
R12_PAO,h2_NH3,2040,year,0.1,-
R12_PAO,h2_NH3,2045,year,0.1,-
R12_PAO,h2_NH3,2050,year,0.1,-
R12_PAO,h2_NH3,2055,year,0.1,-
R12_PAO,h2_NH3,2060,year,0.1,-
R12_PAO,h2_NH3,2070,year,0.1,-
R12_PAO,h2_NH3,2080,year,0.1,-
R12_PAO,h2_NH3,2090,year,0.1,-
R12_PAO,h2_NH3,2100,year,0.1,-
R12_PAO,h2_NH3,2110,year,0.1,-
R12_PAS,h2_NH3,2030,year,0.1,-
R12_PAS,h2_NH3,2035,year,0.1,-
R12_PAS,h2_NH3,2040,year,0.1,-
R12_PAS,h2_NH3,2045,year,0.1,-
R12_PAS,h2_NH3,2050,year,0.1,-
R12_PAS,h2_NH3,2055,year,0.1,-
R12_PAS,h2_NH3,2060,year,0.1,-
R12_PAS,h2_NH3,2070,year,0.1,-
R12_PAS,h2_NH3,2080,year,0.1,-
R12_PAS,h2_NH3,2090,year,0.1,-
R12_PAS,h2_NH3,2100,year,0.1,-
R12_PAS,h2_NH3,2110,year,0.1,-
R12_RCPA,h2_NH3,2030,year,0.1,-
R12_RCPA,h2_NH3,2035,year,0.1,-
R12_RCPA,h2_NH3,2040,year,0.1,-
R12_RCPA,h2_NH3,2045,year,0.1,-
R12_RCPA,h2_NH3,2050,year,0.1,-
R12_RCPA,h2_NH3,2055,year,0.1,-
R12_RCPA,h2_NH3,2060,year,0.1,-
R12_RCPA,h2_NH3,2070,year,0.1,-
R12_RCPA,h2_NH3,2080,year,0.1,-
R12_RCPA,h2_NH3,2090,year,0.1,-
R12_RCPA,h2_NH3,2100,year,0.1,-
R12_RCPA,h2_NH3,2110,year,0.1,-
R12_SAS,h2_NH3,2030,year,0.1,-
R12_SAS,h2_NH3,2035,year,0.1,-
R12_SAS,h2_NH3,2040,year,0.1,-
R12_SAS,h2_NH3,2045,year,0.1,-
R12_SAS,h2_NH3,2050,year,0.1,-
R12_SAS,h2_NH3,2055,year,0.1,-
R12_SAS,h2_NH3,2060,year,0.1,-
R12_SAS,h2_NH3,2070,year,0.1,-
R12_SAS,h2_NH3,2080,year,0.1,-
R12_SAS,h2_NH3,2090,year,0.1,-
R12_SAS,h2_NH3,2100,year,0.1,-
R12_SAS,h2_NH3,2110,year,0.1,-
R12_WEU,h2_NH3,2030,year,0.1,-
R12_WEU,h2_NH3,2035,year,0.1,-
R12_WEU,h2_NH3,2040,year,0.1,-
R12_WEU,h2_NH3,2045,year,0.1,-
R12_WEU,h2_NH3,2050,year,0.1,-
R12_WEU,h2_NH3,2055,year,0.1,-
R12_WEU,h2_NH3,2060,year,0.1,-
R12_WEU,h2_NH3,2070,year,0.1,-
R12_WEU,h2_NH3,2080,year,0.1,-
R12_WEU,h2_NH3,2090,year,0.1,-
R12_WEU,h2_NH3,2100,year,0.1,-
R12_WEU,h2_NH3,2110,year,0.1,-
