node_loc,technology,year_act,time,value,unit
R12_AFR,loil_shipped_exp_rcpa,broadcast,year,0.1,GWa
R12_AFR,loil_shipped_exp_chn,broadcast,year,0.1,GWa
R12_AFR,loil_shipped_exp_eeu,broadcast,year,0.1,GWa
R12_AFR,loil_shipped_exp_fsu,broadcast,year,0.1,GWa
R12_AFR,loil_shipped_exp_lam,broadcast,year,0.1,GWa
R12_AFR,loil_shipped_exp_mea,broadcast,year,0.1,GWa
R12_AFR,loil_shipped_exp_nam,broadcast,year,0.1,GWa
R12_AFR,loil_shipped_exp_pao,broadcast,year,0.1,GWa
R12_AFR,loil_shipped_exp_pas,broadcast,year,0.1,GWa
R12_AFR,loil_shipped_exp_sas,broadcast,year,0.1,GWa
R12_AFR,loil_shipped_exp_weu,broadcast,year,0.1,GWa
R12_RCPA,loil_shipped_exp_afr,broadcast,year,0.1,GWa
R12_RCPA,loil_shipped_exp_chn,broadcast,year,0.1,GWa
R12_RCPA,loil_shipped_exp_eeu,broadcast,year,0.1,GWa
R12_RCPA,loil_shipped_exp_fsu,broadcast,year,0.1,GWa
R12_RCPA,loil_shipped_exp_lam,broadcast,year,0.1,GWa
R12_RCPA,loil_shipped_exp_mea,broadcast,year,0.1,GWa
R12_RCPA,loil_shipped_exp_nam,broadcast,year,0.1,GWa
R12_RCPA,loil_shipped_exp_pao,broadcast,year,0.1,GWa
R12_RCPA,loil_shipped_exp_pas,broadcast,year,0.1,GWa
R12_RCPA,loil_shipped_exp_sas,broadcast,year,0.1,GWa
R12_RCPA,loil_shipped_exp_weu,broadcast,year,0.1,GWa
R12_CHN,loil_shipped_exp_afr,broadcast,year,0.1,GWa
R12_CHN,loil_shipped_exp_rcpa,broadcast,year,0.1,GWa
R12_CHN,loil_shipped_exp_eeu,broadcast,year,0.1,GWa
R12_CHN,loil_shipped_exp_fsu,broadcast,year,0.1,GWa
R12_CHN,loil_shipped_exp_lam,broadcast,year,0.1,GWa
R12_CHN,loil_shipped_exp_mea,broadcast,year,0.1,GWa
R12_CHN,loil_shipped_exp_nam,broadcast,year,0.1,GWa
R12_CHN,loil_shipped_exp_pao,broadcast,year,0.1,GWa
R12_CHN,loil_shipped_exp_pas,broadcast,year,0.1,GWa
R12_CHN,loil_shipped_exp_sas,broadcast,year,0.1,GWa
R12_CHN,loil_shipped_exp_weu,broadcast,year,0.1,GWa
R12_EEU,loil_shipped_exp_afr,broadcast,year,0.1,GWa
R12_EEU,loil_shipped_exp_rcpa,broadcast,year,0.1,GWa
R12_EEU,loil_shipped_exp_chn,broadcast,year,0.1,GWa
R12_EEU,loil_shipped_exp_fsu,broadcast,year,0.1,GWa
R12_EEU,loil_shipped_exp_lam,broadcast,year,0.1,GWa
R12_EEU,loil_shipped_exp_mea,broadcast,year,0.1,GWa
R12_EEU,loil_shipped_exp_nam,broadcast,year,0.1,GWa
R12_EEU,loil_shipped_exp_pao,broadcast,year,0.1,GWa
R12_EEU,loil_shipped_exp_pas,broadcast,year,0.1,GWa
R12_EEU,loil_shipped_exp_sas,broadcast,year,0.1,GWa
R12_EEU,loil_shipped_exp_weu,broadcast,year,0.1,GWa
