node_loc,technology,year_act,value,unit,time
R12_AFR,gas_piped_exp_mea,broadcast,0.05,GWa,year
R12_AFR,gas_piped_exp_weu,broadcast,0.05,GWa,year
R12_CHN,gas_piped_exp_fsu,broadcast,0.05,GWa,year
R12_EEU,gas_piped_exp_fsu,broadcast,0.05,GWa,year
R12_EEU,gas_piped_exp_weu,broadcast,0.05,GWa,year
R12_FSU,gas_piped_exp_chn,broadcast,0.05,GWa,year
R12_FSU,gas_piped_exp_eeu,broadcast,0.05,GWa,year
R12_FSU,gas_piped_exp_mea,broadcast,0.05,GWa,year
R12_FSU,gas_piped_exp_pao,broadcast,0.05,GWa,year
R12_FSU,gas_piped_exp_pas,broadcast,0.05,GWa,year
R12_FSU,gas_piped_exp_sas,broadcast,0.05,GWa,year
R12_FSU,gas_piped_exp_weu,broadcast,0.05,GWa,year
R12_LAM,gas_piped_exp_nam,broadcast,0.05,GWa,year
R12_MEA,gas_piped_exp_afr,broadcast,0.05,GWa,year
R12_MEA,gas_piped_exp_eeu,broadcast,0.05,GWa,year
R12_MEA,gas_piped_exp_fsu,broadcast,0.05,GWa,year
R12_MEA,gas_piped_exp_sas,broadcast,0.05,GWa,year
R12_MEA,gas_piped_exp_weu,broadcast,0.05,GWa,year
R12_NAM,gas_piped_exp_lam,broadcast,0.05,GWa,year
R12_PAO,gas_piped_exp_fsu,broadcast,0.05,GWa,year
R12_PAS,gas_piped_exp_chn,broadcast,0.05,GWa,year
R12_PAS,gas_piped_exp_fsu,broadcast,0.05,GWa,year
R12_PAS,gas_piped_exp_pao,broadcast,0.05,GWa,year
R12_SAS,gas_piped_exp_fsu,broadcast,0.05,GWa,year
R12_SAS,gas_piped_exp_mea,broadcast,0.05,GWa,year
R12_SAS,gas_piped_exp_pas,broadcast,0.05,GWa,year
R12_WEU,gas_piped_exp_afr,broadcast,0.05,GWa,year
R12_WEU,gas_piped_exp_eeu,broadcast,0.05,GWa,year
R12_WEU,gas_piped_exp_fsu,broadcast,0.05,GWa,year
R12_WEU,gas_piped_exp_mea,broadcast,0.05,GWa,year
