MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY,PULL DATE
NP_SSP2_6.2,pipelines_LNG,2030,R12_LAM,gas_piped_imp,45.171625940912655,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2035,R12_LAM,gas_piped_imp,34.95294306895871,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2040,R12_LAM,gas_piped_imp,27.045921056282996,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2045,R12_LAM,gas_piped_imp,20.927618150481646,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2050,R12_LAM,gas_piped_imp,16.193391992121704,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2055,R12_LAM,gas_piped_imp,12.530138036968925,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2060,R12_LAM,gas_piped_imp,9.695581957250225,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2070,R12_LAM,gas_piped_imp,5.805103065218851,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2080,R12_LAM,gas_piped_imp,3.475729641232466,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2090,R12_LAM,gas_piped_imp,2.0810477270116357,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2100,R12_LAM,gas_piped_imp,1.2460001464799322,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2110,R12_LAM,gas_piped_imp,0.7460263139939664,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2030,R12_MEA,gas_piped_imp,0.5021760019837808,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2035,R12_MEA,gas_piped_imp,0.3885742176050117,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2040,R12_MEA,gas_piped_imp,0.30067132238673494,GWa,gas (GWa),2025-09-10
NP_SSP2_6.2,pipelines_LNG,2045,R12_MEA,gas_piped_imp,0.2326537377157725,GWa,gas (GWa),2025-09-10
