node_origin,node_loc,technology,year_vtg,year_act,mode,commodity,level,value,time,time_origin,unit
R12_AFR,R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-RCPA,lightoil,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-CHN,lightoil,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-EEU,lightoil,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-FSU,lightoil,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-LAM,lightoil,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-MEA,lightoil,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-NAM,lightoil,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-PAO,lightoil,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-PAS,lightoil,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-SAS,lightoil,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-WEU,lightoil,secondary,1.17E-06,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-AFR,lightoil,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-CHN,lightoil,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-EEU,lightoil,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-FSU,lightoil,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-LAM,lightoil,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-MEA,lightoil,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-NAM,lightoil,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-PAO,lightoil,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-PAS,lightoil,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-SAS,lightoil,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-WEU,lightoil,secondary,2.03E-05,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-AFR,lightoil,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-RCPA,lightoil,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-EEU,lightoil,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-FSU,lightoil,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-LAM,lightoil,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-MEA,lightoil,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-NAM,lightoil,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-PAO,lightoil,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-PAS,lightoil,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-SAS,lightoil,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-WEU,lightoil,secondary,8.28E-06,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-AFR,lightoil,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-RCPA,lightoil,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-CHN,lightoil,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-FSU,lightoil,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-LAM,lightoil,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-MEA,lightoil,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-NAM,lightoil,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-PAO,lightoil,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-PAS,lightoil,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-SAS,lightoil,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-WEU,lightoil,secondary,7.41E-07,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_loil,broadcast,broadcast,FSU-AFR,lightoil,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_loil,broadcast,broadcast,FSU-RCPA,lightoil,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_loil,broadcast,broadcast,FSU-CHN,lightoil,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_loil,broadcast,broadcast,FSU-EEU,lightoil,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_loil,broadcast,broadcast,FSU-LAM,lightoil,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_loil,broadcast,broadcast,FSU-MEA,lightoil,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_loil,broadcast,broadcast,FSU-NAM,lightoil,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_loil,broadcast,broadcast,FSU-PAO,lightoil,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_loil,broadcast,broadcast,FSU-PAS,lightoil,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_loil,broadcast,broadcast,FSU-SAS,lightoil,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_loil,broadcast,broadcast,FSU-WEU,lightoil,secondary,6.58E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_loil,broadcast,broadcast,LAM-AFR,lightoil,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_loil,broadcast,broadcast,LAM-RCPA,lightoil,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_loil,broadcast,broadcast,LAM-CHN,lightoil,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_loil,broadcast,broadcast,LAM-EEU,lightoil,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_loil,broadcast,broadcast,LAM-FSU,lightoil,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_loil,broadcast,broadcast,LAM-MEA,lightoil,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_loil,broadcast,broadcast,LAM-NAM,lightoil,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_loil,broadcast,broadcast,LAM-PAO,lightoil,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_loil,broadcast,broadcast,LAM-PAS,lightoil,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_loil,broadcast,broadcast,LAM-SAS,lightoil,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_loil,broadcast,broadcast,LAM-WEU,lightoil,secondary,2.12E-06,year,year,GWa
R12_MEA,R12_MEA,oil_tanker_loil,broadcast,broadcast,MEA-AFR,lightoil,secondary,7.04E-06,year,year,GWa
R12_MEA,R12_MEA,oil_tanker_loil,broadcast,broadcast,MEA-RCPA,lightoil,secondary,7.04E-06,year,year,GWa
R12_MEA,R12_MEA,oil_tanker_loil,broadcast,broadcast,MEA-CHN,lightoil,secondary,7.04E-06,year,year,GWa
R12_MEA,R12_MEA,oil_tanker_loil,broadcast,broadcast,MEA-EEU,lightoil,secondary,7.04E-06,year,year,GWa
R12_MEA,R12_MEA,oil_tanker_loil,broadcast,broadcast,MEA-FSU,lightoil,secondary,7.04E-06,year,year,GWa
R12_MEA,R12_MEA,oil_tanker_loil,broadcast,broadcast,MEA-LAM,lightoil,secondary,7.04E-06,year,year,GWa
R12_MEA,R12_MEA,oil_tanker_loil,broadcast,broadcast,MEA-NAM,lightoil,secondary,7.04E-06,year,year,GWa
R12_MEA,R12_MEA,oil_tanker_loil,broadcast,broadcast,MEA-PAO,lightoil,secondary,7.04E-06,year,year,GWa
R12_MEA,R12_MEA,oil_tanker_loil,broadcast,broadcast,MEA-PAS,lightoil,secondary,7.04E-06,year,year,GWa
R12_MEA,R12_MEA,oil_tanker_loil,broadcast,broadcast,MEA-SAS,lightoil,secondary,7.04E-06,year,year,GWa
