node_loc,technology,year_vtg,year_act,value,unit
R12_FSU,oil_exp_mea,broadcast,broadcast,,USD/GWa
R12_FSU,oil_exp_pas,broadcast,broadcast,,USD/GWa
R12_FSU,oil_exp_chn,broadcast,broadcast,,USD/GWa
R12_FSU,oil_exp_sas,broadcast,broadcast,,USD/GWa
R12_FSU,oil_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_FSU,oil_exp_weu,broadcast,broadcast,,USD/GWa
R12_FSU,oil_exp_nam,broadcast,broadcast,,USD/GWa
R12_FSU,oil_exp_eeu,broadcast,broadcast,,USD/GWa
R12_FSU,oil_exp_lam,broadcast,broadcast,,USD/GWa
R12_FSU,oil_exp_pao,broadcast,broadcast,,USD/GWa
R12_PAO,oil_exp_afr,broadcast,broadcast,,USD/GWa
R12_PAO,oil_exp_mea,broadcast,broadcast,,USD/GWa
R12_PAO,oil_exp_pas,broadcast,broadcast,,USD/GWa
R12_PAO,oil_exp_chn,broadcast,broadcast,,USD/GWa
R12_PAO,oil_exp_sas,broadcast,broadcast,,USD/GWa
R12_PAO,oil_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_PAO,oil_exp_weu,broadcast,broadcast,,USD/GWa
R12_PAO,oil_exp_nam,broadcast,broadcast,,USD/GWa
R12_PAO,oil_exp_eeu,broadcast,broadcast,,USD/GWa
R12_PAO,oil_exp_lam,broadcast,broadcast,,USD/GWa
R12_PAO,oil_exp_fsu,broadcast,broadcast,,USD/GWa
R12_MEA,oil_imp,broadcast,broadcast,,USD/GWa
R12_PAS,oil_imp,broadcast,broadcast,,USD/GWa
R12_CHN,oil_imp,broadcast,broadcast,,USD/GWa
R12_SAS,oil_imp,broadcast,broadcast,,USD/GWa
R12_RCPA,oil_imp,broadcast,broadcast,,USD/GWa
R12_WEU,oil_imp,broadcast,broadcast,,USD/GWa
R12_NAM,oil_imp,broadcast,broadcast,,USD/GWa
R12_EEU,oil_imp,broadcast,broadcast,,USD/GWa
R12_LAM,oil_imp,broadcast,broadcast,,USD/GWa
R12_FSU,oil_imp,broadcast,broadcast,,USD/GWa
R12_PAO,oil_imp,broadcast,broadcast,,USD/GWa
R12_AFR,oil_imp,broadcast,broadcast,,USD/GWa
