node_loc,technology,year_vtg,year_act,mode,time,value,unit
R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-RCPA,year,,USD/Mt-km
R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-CHN,year,,USD/Mt-km
R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-EEU,year,,USD/Mt-km
R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-FSU,year,,USD/Mt-km
R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-LAM,year,,USD/Mt-km
R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-MEA,year,,USD/Mt-km
R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-NAM,year,,USD/Mt-km
R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-PAO,year,,USD/Mt-km
R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-PAS,year,,USD/Mt-km
R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-SAS,year,,USD/Mt-km
R12_AFR,oil_tanker_loil,broadcast,broadcast,AFR-WEU,year,,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-AFR,year,,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-CHN,year,,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-EEU,year,,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-FSU,year,,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-LAM,year,,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-MEA,year,,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-NAM,year,,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-PAO,year,,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-PAS,year,,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-SAS,year,,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,RCPA-WEU,year,,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-AFR,year,,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-RCPA,year,,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-EEU,year,,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-FSU,year,,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-LAM,year,,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-MEA,year,,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-NAM,year,,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-PAO,year,,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-PAS,year,,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-SAS,year,,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,CHN-WEU,year,,USD/Mt-km
R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-AFR,year,,USD/Mt-km
R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-RCPA,year,,USD/Mt-km
R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-CHN,year,,USD/Mt-km
R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-FSU,year,,USD/Mt-km
R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-LAM,year,,USD/Mt-km
R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-MEA,year,,USD/Mt-km
R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-NAM,year,,USD/Mt-km
R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-PAO,year,,USD/Mt-km
R12_EEU,oil_tanker_loil,broadcast,broadcast,EEU-PAS,year,,USD/Mt-km
