node_loc,technology,year_act,value,unit,mode,time
R12_AFR,oil_tanker_loil,2025,47648.8586286,Mt-km,AFR-CHN,year
R12_AFR,oil_tanker_loil,2025,7335.32238,Mt-km,AFR-EEU,year
R12_AFR,oil_tanker_loil,2025,24412.538864700004,Mt-km,AFR-FSU,year
R12_AFR,oil_tanker_loil,2025,1334772.3141504,Mt-km,AFR-LAM,year
R12_AFR,oil_tanker_loil,2025,136082340.84721503,Mt-km,AFR-MEA,year
R12_AFR,oil_tanker_loil,2025,288206.8832466,Mt-km,AFR-NAM,year
R12_AFR,oil_tanker_loil,2025,7613.828122500001,Mt-km,AFR-PAO,year
R12_AFR,oil_tanker_loil,2025,4119029.2908027,Mt-km,AFR-PAS,year
R12_AFR,oil_tanker_loil,2025,3902466.6810171,Mt-km,AFR-SAS,year
R12_AFR,oil_tanker_loil,2025,87004901.3011488,Mt-km,AFR-WEU,year
R12_CHN,oil_tanker_loil,2025,429.6912165,Mt-km,CHN-AFR,year
R12_CHN,oil_tanker_loil,2025,665559.4220964,Mt-km,CHN-FSU,year
R12_CHN,oil_tanker_loil,2025,114186.0185109,Mt-km,CHN-LAM,year
R12_CHN,oil_tanker_loil,2025,649428.9624719999,Mt-km,CHN-MEA,year
R12_CHN,oil_tanker_loil,2025,177128.3358,Mt-km,CHN-NAM,year
R12_CHN,oil_tanker_loil,2025,10526313.5359605,Mt-km,CHN-PAO,year
R12_CHN,oil_tanker_loil,2025,253462887.85751638,Mt-km,CHN-PAS,year
R12_CHN,oil_tanker_loil,2025,20889.312219,Mt-km,CHN-RCPA,year
R12_CHN,oil_tanker_loil,2025,179949.806685,Mt-km,CHN-SAS,year
R12_CHN,oil_tanker_loil,2025,948.1305015,Mt-km,CHN-WEU,year
R12_EEU,oil_tanker_loil,2025,143704.653624,Mt-km,EEU-AFR,year
R12_EEU,oil_tanker_loil,2025,3977703.041571,Mt-km,EEU-FSU,year
R12_EEU,oil_tanker_loil,2025,6562.1832075,Mt-km,EEU-LAM,year
R12_EEU,oil_tanker_loil,2025,33018.5451789,Mt-km,EEU-MEA,year
