node_loc,technology,value_update
R12_EEU,gas_pipe_fsu,14.686771767044831
R12_EEU,gas_pipe_weu,40.98444457872735
R12_FSU,gas_pipe_chn,56.73468047694151
R12_FSU,gas_pipe_eeu,0.5803931613648446
R12_FSU,gas_pipe_mea,5.7116428228464216
R12_FSU,gas_pipe_weu,154.64473393487043
R12_MEA,gas_pipe_eeu,166.67155027881648
R12_MEA,gas_pipe_fsu,42.51931241081836
R12_MEA,gas_pipe_sas,874.1286861061657
R12_MEA,gas_pipe_weu,322.4906836960585
R12_NAM,gas_pipe_lam,42.38199696681998
R12_PAS,gas_pipe_chn,35.73438015068905
R12_WEU,gas_pipe_eeu,48.51311653005251
R12_WEU,gas_pipe_fsu,180.14758582735874
R12_WEU,gas_pipe_mea,111.66993597233869
