node_loc,technology,year_act,time,value,unit
R12_AFR,loil_shipped_exp_rcpa,broadcast,year,2,GWa
R12_AFR,loil_shipped_exp_chn,broadcast,year,2,GWa
R12_AFR,loil_shipped_exp_eeu,broadcast,year,2,GWa
R12_AFR,loil_shipped_exp_fsu,broadcast,year,2,GWa
R12_AFR,loil_shipped_exp_lam,broadcast,year,2,GWa
R12_AFR,loil_shipped_exp_mea,broadcast,year,2,GWa
R12_AFR,loil_shipped_exp_nam,broadcast,year,2,GWa
R12_AFR,loil_shipped_exp_pao,broadcast,year,2,GWa
R12_AFR,loil_shipped_exp_pas,broadcast,year,2,GWa
R12_AFR,loil_shipped_exp_sas,broadcast,year,2,GWa
R12_AFR,loil_shipped_exp_weu,broadcast,year,2,GWa
R12_RCPA,loil_shipped_exp_afr,broadcast,year,2,GWa
R12_RCPA,loil_shipped_exp_chn,broadcast,year,2,GWa
R12_RCPA,loil_shipped_exp_eeu,broadcast,year,2,GWa
R12_RCPA,loil_shipped_exp_fsu,broadcast,year,2,GWa
R12_RCPA,loil_shipped_exp_lam,broadcast,year,2,GWa
R12_RCPA,loil_shipped_exp_mea,broadcast,year,2,GWa
R12_RCPA,loil_shipped_exp_nam,broadcast,year,2,GWa
R12_RCPA,loil_shipped_exp_pao,broadcast,year,2,GWa
R12_RCPA,loil_shipped_exp_pas,broadcast,year,2,GWa
R12_RCPA,loil_shipped_exp_sas,broadcast,year,2,GWa
R12_RCPA,loil_shipped_exp_weu,broadcast,year,2,GWa
R12_CHN,loil_shipped_exp_afr,broadcast,year,2,GWa
R12_CHN,loil_shipped_exp_rcpa,broadcast,year,2,GWa
R12_CHN,loil_shipped_exp_eeu,broadcast,year,2,GWa
R12_CHN,loil_shipped_exp_fsu,broadcast,year,2,GWa
R12_CHN,loil_shipped_exp_lam,broadcast,year,2,GWa
R12_CHN,loil_shipped_exp_mea,broadcast,year,2,GWa
R12_CHN,loil_shipped_exp_nam,broadcast,year,2,GWa
R12_CHN,loil_shipped_exp_pao,broadcast,year,2,GWa
R12_CHN,loil_shipped_exp_pas,broadcast,year,2,GWa
R12_CHN,loil_shipped_exp_sas,broadcast,year,2,GWa
R12_CHN,loil_shipped_exp_weu,broadcast,year,2,GWa
R12_EEU,loil_shipped_exp_afr,broadcast,year,2,GWa
R12_EEU,loil_shipped_exp_rcpa,broadcast,year,2,GWa
R12_EEU,loil_shipped_exp_chn,broadcast,year,2,GWa
R12_EEU,loil_shipped_exp_fsu,broadcast,year,2,GWa
R12_EEU,loil_shipped_exp_lam,broadcast,year,2,GWa
R12_EEU,loil_shipped_exp_mea,broadcast,year,2,GWa
R12_EEU,loil_shipped_exp_nam,broadcast,year,2,GWa
R12_EEU,loil_shipped_exp_pao,broadcast,year,2,GWa
R12_EEU,loil_shipped_exp_pas,broadcast,year,2,GWa
R12_EEU,loil_shipped_exp_sas,broadcast,year,2,GWa
R12_EEU,loil_shipped_exp_weu,broadcast,year,2,GWa
R12_FSU,loil_shipped_exp_afr,broadcast,year,2,GWa
R12_FSU,loil_shipped_exp_rcpa,broadcast,year,2,GWa
R12_FSU,loil_shipped_exp_chn,broadcast,year,2,GWa
R12_FSU,loil_shipped_exp_eeu,broadcast,year,2,GWa
