node_loc,technology,node_rel,relation,year_rel,year_act,mode,commodity,value,unit
R12_SAS,LNG_shipped_exp_lam,R12_SAS,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_SAS,LNG_shipped_exp_mea,R12_SAS,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_SAS,LNG_shipped_exp_nam,R12_SAS,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_SAS,LNG_shipped_exp_pao,R12_SAS,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_SAS,LNG_shipped_exp_pas,R12_SAS,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_SAS,LNG_shipped_exp_weu,R12_SAS,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_WEU,LNG_shipped_exp_afr,R12_WEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_WEU,LNG_shipped_exp_rcpa,R12_WEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_WEU,LNG_shipped_exp_chn,R12_WEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_WEU,LNG_shipped_exp_eeu,R12_WEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_WEU,LNG_shipped_exp_fsu,R12_WEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_WEU,LNG_shipped_exp_lam,R12_WEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_WEU,LNG_shipped_exp_mea,R12_WEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_WEU,LNG_shipped_exp_nam,R12_WEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_WEU,LNG_shipped_exp_pao,R12_WEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_WEU,LNG_shipped_exp_pas,R12_WEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_WEU,LNG_shipped_exp_sas,R12_WEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_GLB,LNG_tanker,R12_GLB,LNG_tanker,broadcast,broadcast,M1,LNG,1.0,
